"hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","establishmentTypes/0","establishmentTypes/1","numberOfReviews","website","longitude","image","locationString","rating","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","email","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","type","rankingDenominator","localAddress","phone","priceLevel","isLongClosed","subcategories/0","ownersTopReasons","rankingPosition","localName","dishes/0","dishes/1","openNowText","rankingString","priceRange","id","address","name","menuWebUrl","photoCount","webUrl","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","isClosed","category"
,,,,,,,,,,,,,,,,"Reservations",,,,,,,,,,,,,,,,,,,,"Indian",,,,,,,"Restaurants",,"7",,"35.26334","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/00/6c/f8/the-restaurant-is-very.jpg","Eldoret, Rift Valley Province","4.5","Eldoret","Kenya",,,"Uhuru St",,,,,,,,,"RESTAURANT","27",,"+254 722 699910","$$ - $$$","false",,,"9","",,,,"#9 of 35 places to eat in Eldoret",,"12226917","Uhuru St, Eldoret Kenya","Sains",,"11","https://www.tripadvisor.com/Restaurant_Review-g681265-d12226917-Reviews-Sains-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","3","4","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cafe",,,,,,,"Restaurants",,"6","https://www.bakerspointkenya.com/zion-mall/","35.27797","https://media-cdn.tripadvisor.com/media/photo-w/18/82/37/8e/great-coffee-cake-and.jpg","Eldoret, Rift Valley Province","4.5","Eldoret","Kenya",,,"Zion Mall",,"bakerspointkenya@gmail.com",,,,,,,"RESTAURANT","27",,"+254 723 577000",,"false",,,"12","","Cakes",,,"#12 of 35 places to eat in Eldoret",,"15870613","Zion Mall, Eldoret Kenya","Bakers Point","https://www.bakerspointkenya.com/rupas-mall-menu/","1","https://www.tripadvisor.com/Restaurant_Review-g681265-d15870613-Reviews-Bakers_Point-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","1","2","3","false","restaurant"
,"Africa/Nairobi","1200","510","1200","510","1200","510","1200","510","1200","510","1200","510","1200","510","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Live Music","Drive Thru","Family style","Sports bars","Steakhouse","Indian","African","Greek","Wine Bar","Cafe","Beer restaurants","Restaurants",,"4","http://wings23restaurant.com",,"https://media-cdn.tripadvisor.com/media/photo-o/1b/fb/4b/24/getlstd-property-photo.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya","30100",,"The Daima Towers, 23rd floor",,"info@wings23.com","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","RESTAURANT","27",,"+254 742 222327","$$ - $$$","false","Sit down",,"14","",,,"Closed Now","#14 of 35 places to eat in Eldoret","KES 29,647 - KES 444,560","21281651","The Daima Towers, 23rd floor, Eldoret 30100 Kenya","Wings 23 Restaurant & Pub",,"6","https://www.tripadvisor.com/Restaurant_Review-g681265-d21281651-Reviews-Wings_23_Restaurant_Pub-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","0","1","0","1","2","false","restaurant"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","Delivery","Takeout","Parking Available","Street Parking","Wheelchair Accessible","Accepts American Express","Accepts Visa","Cash Only","Free Wifi","Accepts Credit Cards","Drive Thru","Non-smoking restaurants",,,,,,,,,,,,,,,,"Restaurants",,"2","http://www.islandbakers.co.ke","35.27457","https://media-cdn.tripadvisor.com/media/photo-o/1c/bd/71/06/island-bakers-eldoret.jpg","Eldoret, Rift Valley Province","5","Eldoret","Kenya","30100",,"Triq Nofsinhar","Utamaduni House","islandbakers@gmail.com","Breakfast","Lunch","Dinner",,,,"RESTAURANT","27",,"+254 723 027440","$$ - $$$","false",,,"13","",,,"Open Now","#13 of 35 places to eat in Eldoret",,"23221543","Triq Nofsinhar Utamaduni House, Eldoret 30100 Kenya","Island Bakers Eldoret",,"13","https://www.tripadvisor.com/Restaurant_Review-g681265-d23221543-Reviews-Island_Bakers_Eldoret-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","0","0","2","false","restaurant"
,"Africa/Nairobi","1080","480","1080","480","1080","480","1080","480","1080","480","1080","480","1080","480",,,,,,,,,,,,,,,,,,,,,"Indian",,,,,,,"Restaurants",,"2",,,,"Eldoret, Rift Valley Province","5","Eldoret","Kenya",,,"Kago Street","Biharilal House, near Eldoret-Kitale Road",,"Breakfast","Lunch","Dinner",,,,"RESTAURANT","27",,"+254 729 039099",,"false",,,"16","",,,"Closed Now","#16 of 35 places to eat in Eldoret",,"12839706","Kago Street Biharilal House, near Eldoret-Kitale Road, Eldoret Kenya","Pandits Vegetarian Restaurant",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d12839706-Reviews-Pandits_Vegetarian_Restaurant-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","0","0","2","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African","International","Asian",,,,,"Restaurants",,"3","http://www.wannahrestaurants.co.ke","35.273376","https://media-cdn.tripadvisor.com/media/photo-s/08/ff/08/4d/getlstd-property-photo.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya","30100",,"Oloo St","Tiryo SugarLand Plaza, 1st Flr","info@wannahrestaurants.co.ke",,,,,,,"RESTAURANT","27",,"+254 703 867579","$","false","Sit down",,"18","",,,,"#18 of 35 places to eat in Eldoret","KES 14,824 - KES 177,883","8647988","Oloo St Tiryo SugarLand Plaza, 1st Flr, Eldoret 30100 Kenya","WANNAH RESTAURANT","https://wannahrestaurants.co.ke/menu-portfolio/","1","https://www.tripadvisor.com/Restaurant_Review-g681265-d8647988-Reviews-WANNAH_RESTAURANT-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","3","0","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Italian","Pizza","Cafe","Fast Food",,,,"Restaurants",,"5","https://www.facebook.com/Pizza-Bistro-506480526063504/","35.26921",,"Eldoret, Rift Valley Province","3.5","Eldoret","Kenya","30100",,"Langas Jua Kali Rd","Nakumatt EldoCentre",,,,,,,,"RESTAURANT","27",,"+254 721 261717",,"false",,,"20","",,,,"#20 of 35 places to eat in Eldoret",,"12882851","Langas Jua Kali Rd Nakumatt EldoCentre, Eldoret 30100 Kenya","Pizza Bistro",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d12882851-Reviews-Pizza_Bistro-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","1","1","2","1","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indian",,,,,,,"Restaurants",,"2","https://www.facebook.com/sparkbiteeldoret/","35.51019","https://media-cdn.tripadvisor.com/media/photo-o/17/bd/2b/d7/spark-bite.jpg","Eldoret, Rift Valley Province","5","Eldoret","Kenya",,,"Eldoret - Kitale Rd","Kings Auto Spares","sparkbite1@gmail.com",,,,,,,"RESTAURANT","27",,"+254 721 461786",,"false",,,"15","",,,,"#15 of 35 places to eat in Eldoret",,"17513510","Eldoret - Kitale Rd Kings Auto Spares, Eldoret Kenya","Spark Bite",,"11","https://www.tripadvisor.com/Restaurant_Review-g681265-d17513510-Reviews-Spark_Bite-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","0","2","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African","Barbecue","Contemporary","Dining bars","Beer restaurants",,,"Restaurants",,"1",,"35.26992","https://media-cdn.tripadvisor.com/media/photo-o/1c/7a/61/fa/best-getaway-for-family.jpg","Eldoret, Rift Valley Province","5","Eldoret","Kenya","30100",,"Eldoret Kisumu Road","Opposite Eldoret Polytechnic","j.makana59@gmail.com",,,,,,,"RESTAURANT","27",,"+254 711 831769","$$$$","false","Sit down",,"19","",,,,"#19 of 35 places to eat in Eldoret","KES 88,942 - KES 1,778,832","23025326","Eldoret Kisumu Road Opposite Eldoret Polytechnic, Eldoret 30100 Kenya","Tamasha Eldoret",,"7","https://www.tripadvisor.com/Restaurant_Review-g681265-d23025326-Reviews-Tamasha_Eldoret-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","0","1","false","restaurant"
,"Africa/Nairobi","750","0","750","0","750","0","750","0","750","0","750","0","750","0","Seating","Reservations","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,"Chinese","Indian","African",,,,,"Restaurants",,"15","https://www.facebook.com/Zaika-Lounge-113115529401847/","35.26978","https://media-cdn.tripadvisor.com/media/photo-o/12/9f/1a/a1/the-best.jpg","Eldoret, Rift Valley Province","3.5","Eldoret","Kenya","30100",,"Eldoret-Nakuru Road","Rupa Mall 2nd Floor",,"Breakfast","Lunch","Dinner",,,,"RESTAURANT","27",,"+254 752 111110","$$ - $$$","false","Sit down",,"22","",,,"Closed Now","#22 of 35 places to eat in Eldoret","KES 17,788 - KES 741,180","13984225","Eldoret-Nakuru Road Rupa Mall 2nd Floor, Eldoret 30100 Kenya","Zaika Lounge,Rupa's Mall,2nd floor ,Eldoret",,"42","https://www.tripadvisor.com/Restaurant_Review-g681265-d13984225-Reviews-Zaika_Lounge_Rupa_s_Mall_2nd_floor_Eldoret-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"2","3","3","2","5","false","restaurant"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","Takeout","Outdoor Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","BYOB","Sports bars","Gift Cards Available",,,,,,"African",,,,,,,"Bars & Pubs","Restaurants","1",,"35.27318","https://media-cdn.tripadvisor.com/media/photo-o/29/ba/6c/31/caption.jpg","Eldoret, Rift Valley Province","5","Eldoret","Kenya","30100",,"Sergoit - Moiben road ","Moiben ","caesarswaterfrontofficial@gmail.com","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","RESTAURANT","27",,"+254 748 639537",,"false",,,"17","",,,"Open Now","#17 of 35 places to eat in Eldoret",,"26325298","Sergoit - Moiben road Moiben, Eldoret 30100 Kenya","Caesars waterfront Sergoit Moiben",,"14","https://www.tripadvisor.com/Restaurant_Review-g681265-d26325298-Reviews-Caesars_waterfront_Sergoit_Moiben-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","0","0","0","0","1","false","restaurant"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"1",,"35.27082","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/38/af/22/kq-grill-and-bistro-where.jpg","Eldoret, Rift Valley Province","1","Eldoret","Kenya","30100",,"Yala Road Eldoret",,,"Breakfast","Lunch","Dinner",,,,"RESTAURANT","27",,"+254 708 708699",,"false",,,"27","",,,"Open Now","#27 of 35 places to eat in Eldoret",,"19605152","Yala Road Eldoret, Eldoret 30100 Kenya","KQ Grill And BISTRO",,"7","https://www.tripadvisor.com/Restaurant_Review-g681265-d19605152-Reviews-KQ_Grill_And_BISTRO-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"1","0","0","0","0","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chinese","Indian","African",,,,,"Restaurants",,"4","https://www.facebook.com/Zaika-Lounge-113115529401847/","35.26978",,"Eldoret, Rift Valley Province","3.5","Eldoret","Kenya","30100",,"Malaba Road","Rupa Mall 2nd Floor",,,,,,,,"RESTAURANT","27",,"+254 727 246197","$$ - $$$","false","Sit down",,"23","",,,,"#23 of 35 places to eat in Eldoret","KES 17,788 - KES 741,180","13988044","Malaba Road Rupa Mall 2nd Floor, Eldoret 30100 Kenya","Zaika",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d13988044-Reviews-Zaika-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","1","1","1","1","false","restaurant"
