"rankingString","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","image","photoCount","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","menuWebUrl","openNowText","website","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","neighborhoodLocations/0/id","neighborhoodLocations/0/name","localName","rawRanking","establishmentTypes/0","establishmentTypes/1","priceLevel","phone","type","numberOfReviews","isClosed","subcategories/0","description","locationString","isLongClosed","localAddress","category","id","email","rankingPosition","rankingDenominator","name","rating","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","priceRange","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","address","webUrl","latitude","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22"
"#30 of 1,048 places to eat in Nairobi","Italian","Indian","Bar","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/29/a6/95/4d/ambience-at-ue.jpg","248",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"http://www.urbaneatery.co.ke/menus-","Open Now","http://www.urbaneatery.co.ke/","19","22","61","165","244","Nairobi","Kenya",,,"Delta Towers","Ground Floor, PwC Towers, Delta Corner Estate",,,"","4.350590705871582","Restaurants",,"$$ - $$$","+254 790 999149","RESTAURANT","511","false","Café",,"Nairobi","false",,"restaurant","7724689","info@urbaneatery.co.ke","30","833","Urban Eatery","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","480",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","480",,,,,"Delta Towers Ground Floor, PwC Towers, Delta Corner Estate, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7724689-Reviews-Urban_Eatery-Nairobi.html","-1.265588","36.802265","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,,,,"Noodle","Pasta","Frozen Yogurt","Burger","Salad","Waffles","Curry","Salmon","Prawns","Beef","Lamb","Pesto","Fish",,,,,,,,,,
"#54 of 1,048 places to eat in Nairobi","International","Vegetarian Friendly",,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/12/1e/e3/96/baraka-restaurant.jpg","41",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,"Closed Now","http://www.facebook.com/MercureNairobi","0","1","2","10","52","Nairobi","Kenya","00100",,"Kenya Road, UpperHill","Crown Plaza",,,"","3.8046066761016846","Restaurants",,"$$ - $$$","+254 20 2746040","RESTAURANT","65","false","Sit down","An all-day dining restaurant located on the ground floor of the Hotel with a full buffet breakfast, as well as an A-La-Carte menu.","Nairobi","false",,"restaurant","5029895","mercure.nairobi@accor.com","54","833","Baraka Restaurant","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","600","360","900","720","1320","1110","Kenya Road, UpperHill Crown Plaza, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d5029895-Reviews-Baraka_Restaurant-Nairobi.html","-1.300354","36.815372","Breakfast","Lunch","Drinks","Dinner","Brunch",,"Breakfast","Lunch","Drinks","Dinner","Brunch",,"Reservations","Parking Available","Serves Alcohol","Digital Payments","Free Wifi","Outdoor Seating","Buffet","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#53 of 1,048 places to eat in Nairobi","Mediterranean","European","Spanish","Bar","Vegetarian Friendly","Vegan Options",,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/88/6a/92/tapas-ceviche-bar-nairobi.jpg","41",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://www.tapas.co.ke/tapas-menu.png","3","3","22","74","66","Nairobi","Kenya",,,"Westgate Mall",,,,"","3.8140907287597656","Restaurants",,"$$ - $$$","+254 726 303030","RESTAURANT","168","false","Sit down",,"Nairobi","false",,"restaurant","4421811",,"53","833","Tapas Ceviche Bar Nairobi","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westgate Mall, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d4421811-Reviews-Tapas_Ceviche_Bar_Nairobi-Nairobi.html","-1.257588","36.80319","Lunch","Dinner","Brunch",,,,"Lunch","Dinner","Brunch",,,,"Outdoor Seating","Seating","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Table Service","Reservations",,,,,,,,,,,,,,,,,,,,,,,"Ceviche","Paella","Calamari","Patatas Bravas","Prawns","Beef","Fish",,,,,,,,,,,,,,,,
"#50 of 1,048 places to eat in Nairobi","Asian","Thai","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/14/0f/22/64/thai-chi-restaurant.jpg","45",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://cdn.sarovahotels.com/stanley-nairobi/images/THAI-CHI-SET-MENU.pdf","Closed Now","http://www.sarovahotels.com/stanley-nairobi/culinary-experiences/thai-chi.html","16","10","34","85","202","Nairobi","Kenya","",,"Kenyatta Avenue & Kimathi Street","","20484493","Nairobi Central Business District","","3.8640918731689453","Restaurants",,"$$$$","+254 20 2757000","RESTAURANT","347","false","Sit down","A small piece of Thailand in Nairobi, Thai Chi has been awarded as the most authentic Thai restaurant in East Africa. With its traditional Thai decor and delectable Thai specialties prepared by experienced chefs from Thailand, Thai Chi is one of Nairobi's most elegant dining establishments.","Nairobi","false",,"restaurant","1104866","sarovastanley@sarovahotels.com","50","833","Thai Chi Restaurant - The Stanley Hotel","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 5,929 - KES 7,412",,"Africa/Nairobi","870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"Kenyatta Avenue & Kimathi Street, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1104866-Reviews-Thai_Chi_Restaurant_The_Stanley_Hotel-Nairobi.html","-1.284044","36.82303","Lunch","Dinner","Late Night",,,,"Lunch","Dinner","Late Night",,,,"Reservations","Seating","Parking Available","Valet Parking","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,"Noodle","Pad Thai","Salad","Chili","Curry","Green Curry","Prawns","Beef","Duck","Lamb","Fish","Pork",,,,,,,,,,,
"#48 of 1,048 places to eat in Nairobi","Fast Food","International","Fusion","Street Food","Vegetarian Friendly",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/28/59/a2/c5/saucy.jpg","40",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,"Closed Now","http://www.mamarocksburgers.com","2","1","4","19","51","Nairobi","Kenya","00800",,"The Alchemist","Parklands Road",,,"","3.8736491203308105","Restaurants",,"$$ - $$$","+254 705 801230","RESTAURANT","77","false","Sit down","GOURMET BURGERS AFRICAN STYLE Bringing the African inspired ‘Gourmet Burger’ to the vibrant city of Nairobi, Mama Rocks is pioneering the Nairobi street food scene with an afro-cool food truck like no other. Created with love and the freshest, natural ingredients, every care has been taken to produce our range of exciting and unique burgers. Mama Rocks is brought to you by us, Samantha and Natalie, sisters who just want you to have great food and have fun! On a regular day you will find the truck at our very cool home base at the Yard (AKA The Alchemist Bar), Parklands Road, Westlands. The Mama Rocks food truck will also be COMING TO YOU – at the heart of the events scene. Follow us on Facebook or Instagram social media to keep updated about our location. And if you’re not there, MAMA DELIVERS through our partners Hello Food (Mama Rocks) (5km radius from Westlands) And MAMA CATERS. For a fun alternative catering solution that your guests will surely remember, choose Mama Rocks to cater for your event, private party or corporate function.","Nairobi","false",,"restaurant","12119585","info@mamarocksburgers.com","48","832","Mama Rocks Gourmet Burgers - The Alchemist","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 1,038 - KES 1,482",,"Africa/Nairobi","1350","600",,,,,"1290","600",,,,,"1290","600",,,,,"1350","600",,,,,"1350","600",,,,,"1440","600",,,,,"1440","600",,,,,"The Alchemist Parklands Road, Nairobi 00800 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12119585-Reviews-Mama_Rocks_Gourmet_Burgers_The_Alchemist-Nairobi.html","-1.262315","36.803654","Lunch","Dinner","Late Night","Drinks",,,"Lunch","Dinner","Late Night","Drinks",,,"Takeout","Parking Available","Street Parking","Television","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Delivery","Seating","Wheelchair Accessible","Serves Alcohol",,,,,,,,,,,,,,,,,,"Burger",,,,,,,,,,,,,,,,,,,,,,
"#51 of 1,048 places to eat in Nairobi","International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/21/c8/ea/the-drive-up.jpg","96",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://www.sarovahotels.com/panafric/dining","3","10","19","44","96","Nairobi","Kenya","00100",,"Kenyatta Avenue",,"20484494","Upper Hill Estate","","3.8638782501220703","Restaurants",,"$$ - $$$","+254 709 111000","RESTAURANT","172","false","Sit down",,"Nairobi","false",,"restaurant","3264614","panafric@sarovahotels.com","51","833","Flame Tree Restaurant","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 1,334 - KES 5,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenyatta Avenue, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d3264614-Reviews-Flame_Tree_Restaurant-Nairobi.html","-1.28982","36.810555","Breakfast","Lunch","Dinner","Brunch","Late Night",,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Table Service","Highchairs Available","Free Wifi",,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Burger","Salad","Prawns","Lamb","Pork",,,,,,,,,,,,,,,,,
"#49 of 1,048 places to eat in Nairobi","Italian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0f/83/75/46/caption.jpg","66",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"http://www.360degreespizza.com/menu","Closed Now","http://www.360degreespizza.com/","8","6","30","116","116","Nairobi","Kenya","00505",,"Waiyaki Way","ABC Place, Waiyaki Way, Westlands",,,"","3.866246461868286","Restaurants",,"$$ - $$$","+254 733 360360","RESTAURANT","276","false","Café","360 Degrees Artisan Pizza is an upscale casual restaurant serving authentic Neapolitan Pizza in a warm and lively modern atmosphere.","Nairobi","false",,"restaurant","5038688","info@360degreespizza.com","49","833","360 Degrees Pizza - ABC Place","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 59,294 - KES 296,472",,"Africa/Nairobi","1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"Waiyaki Way ABC Place, Waiyaki Way, Westlands, Nairobi 00505 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d5038688-Reviews-360_Degrees_Pizza_ABC_Place-Nairobi.html","-1.259592","36.776505","Lunch","Dinner","Brunch","Late Night",,,"Lunch","Dinner","Brunch","Late Night",,,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi",,,,,,,,,,,,,,,,,,,,"Pasta","Salad","Prosciutto","Meatballs","Gelato","Pesto",,,,,,,,,,,,,,,,,
"#20 of 1,048 places to eat in Nairobi","Bar","Pub",,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-w/24/ca/90/03/bar-island.jpg","28",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://qr1.be/KE8D","Closes in 11 min","http://www.radissonhotels.com/en-us/hotels/radisson-blu-nairobi-upper-hill","0","0","0","1","60","Nairobi","Kenya",,,"Radisson Blu Hotel, Nairobi Upper Hill","Elgon Road",,,"","4.545839786529541","Bars & Pubs","Restaurants",,"+254 709 810000","RESTAURANT","61","false",,"Sophisticated lobby bar and cigar lounge at Radisson Blu Hotel, Nairobi Upper Hill that looks out over Nairobi. Our mixologists will whip up a drink of your choice from our wide selection of premium wines, whiskies, vodkas and rum.","Nairobi","false",,"restaurant","24091389","info.nairobi@radissonblu.com","20","833","Humidor Bar & Lounge","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"Radisson Blu Hotel, Nairobi Upper Hill Elgon Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d24091389-Reviews-Humidor_Bar_Lounge-Nairobi.html","-1.30228","36.816746","Lunch","Dinner","Late Night","Drinks",,,"Lunch","Dinner","Late Night","Drinks",,,"Outdoor Seating","Seating","Parking Available","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#46 of 1,048 places to eat in Nairobi","Seafood","Gluten Free Options","Vegetarian Friendly",,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/13/e2/0c/30/certainly-nairobi-s-most.jpg","193",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://www.experienceseven.com/menus/","Open Now","http://www.experienceseven.com/","12","22","42","147","200","Nairobi","Kenya","00100",,"ABC Place","Waiyaki Way",,,"","3.9392545223236084","Restaurants",,"$$$$","+254 737 776677","RESTAURANT","423","false","Sit down","Already considered to be Nairobi’s premier Seafood & Steak destination, Seven Seafood & Grill offers a sumptuous selection of the finest Indian Ocean seafood and grass fed Angus/Borana steaks in one of Nairobi’s most distinctive & innovatively designed restaurants. A mouth-watering array of oysters, lobsters, prawns & ocean fish are delivered daily, freshly prepared & accompanied by Seven’s signature sauces. Meat lovers are well catered for with exclusive, hand-selected cuts of Kenya’s finest beef that have been carefully aged, butchered in house, slow cooked or grilled to your liking & presented in a variety of forms such as gourmet sandwiches, gourmet burgers but most importantly gourmet steaks that will take your palate on a culinary journey like never before. Our newly launched fully equipped Private Dining Area comprising a Chef's table & private bar serves as the ideal venue for your personal or business functions. In a nutshell, join us for your most unique dining experience.","Nairobi","false",,"restaurant","1986396","reservations@experienceseven.com","46","833","Seven Seafood & Grill","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"ABC Place Waiyaki Way, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1986396-Reviews-Seven_Seafood_Grill-Nairobi.html","-1.259951","36.776424","Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Accepts Mastercard","Accepts Visa","Reservations","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,"Crab","Fish & Chips","Burger","Lasagne","Lobster","Oyster","Paella","Shrimp","Salad","Calamari","Chili","Risotto","Salmon","Tuna","Prawns","Octopus","Seafood Platters","Beef","Duck","Fish",,,
"#44 of 1,048 places to eat in Nairobi","Cafe","Healthy","International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/05/0d/44/65/getlstd-property-photo.jpg","107",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,"Closed Now","http://www.facebook.com/TinRoofCafe","11","8","20","74","157","Nairobi","Kenya","00502",,"Dagoretti Road","Opposite The Hub Karen. Approx 200m from Karen Roundabout.",,,"","3.940110683441162","Restaurants",,"$$ - $$$","+254 706 348215","RESTAURANT","270","false","Café","Quiet, quirky day-time cafe perfect for light, healthy lunches with great salads and fresh, exotic smoothies, juices and excellent coffee hand-roasted in Nairobi.","Nairobi","false",,"restaurant","5561344",,"44","833","Tin Roof Cafe","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 741 - KES 3,706",,"Africa/Nairobi","1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"Dagoretti Road Opposite The Hub Karen. Approx 200m from Karen Roundabout., Nairobi 00502 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d5561344-Reviews-Tin_Roof_Cafe-Nairobi.html","-1.319867","36.705753","Lunch","Brunch","Drinks","Breakfast",,,"Lunch","Brunch","Drinks","Breakfast",,,"Takeout","Outdoor Seating","Buffet","Seating","Free off-street parking","Highchairs Available","Serves Alcohol","Wine and Beer","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Reservations","Playgrounds",,,,,,,,,,,,,,,"Sandwiches","Burger","Salad","Pancakes","Carrot Cake","Crepes","Quiche","Toasts","Cakes","Fish",,,,,,,,,,,,,
"#47 of 1,048 places to eat in Nairobi","Asian","Chinese","Japanese","Sushi","Thai","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/78/e0/b8/zen-garden-restaurant.jpg","184",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://www.zengarden.co.ke/","20","33","59","188","227","Nairobi","Kenya","00100",,"Lower Kabete Road",,,,"","3.9190616607666016","Restaurants",,"$$ - $$$","+254 20 8034445","RESTAURANT","527","false","Sit down",,"Nairobi","false",,"restaurant","13089847","info@zengarden.co.ke","47","833","Zen Garden","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lower Kabete Road, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13089847-Reviews-Zen_Garden-Nairobi.html","-1.244406","36.76965","Lunch","Dinner","Brunch","Late Night",,,"Lunch","Dinner","Brunch","Late Night",,,"Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service","Playgrounds",,,,,,,,,,,,,,,,"Juice & Smoothies","Noodle","Pasta","Dim Sum","Dumplings","Burger","Tempura","Salad","Pancakes","Wings","Chili","Curry","Green Curry","Lettuce Wraps","Prawns","Beef","Duck","Pesto","Cakes","Fried rice","Sashimi","Fish","Pork"
"#39 of 1,048 places to eat in Nairobi","International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/00/78/ac/sikia-fine-dining-restaurant.jpg","61",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,"Closed Now","http://www.ihg.com/crowneplaza/hotels/us/en/nairobi/nbocp/hoteldetail/dining#","2","1","1","12","90","Nairobi","Kenya","00100",,"Kenya Road, UpperHill","Crowne Plaza",,,"","3.987501621246338","Restaurants",,"$$$$","+254 20 2746061","RESTAURANT","106","false",,"Fine Dining Cuisine offering a unique mix of exclusivity, comfort, sophistication and design. The a la carte menu is a tantalizing play of local and international cuisine, meticulously fused to offer the finest dining experience in Nairobi. Sikia is open for Lunch from 12 noon to 3:00p.m. and Dinner from 6.30pm to 10.00pm. Open six days a week Monday to Saturday. Closed on public holidays.","Nairobi","false",,"restaurant","7789848","reservations@cpnairobi.com","39","833","Sikia Fine Dining Restaurant","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi",,,,,,,"900","720","1320","1110",,,"900","720","1320","1110",,,"900","720","1320","1110",,,"900","720","1320","1110",,,"900","720","1320","1110",,,"1320","1110",,,,,"Kenya Road, UpperHill Crowne Plaza, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7789848-Reviews-Sikia_Fine_Dining_Restaurant-Nairobi.html","-1.300669","36.81499","Dinner","Lunch",,,,,"Dinner","Lunch",,,,,"Reservations","Seating","Parking Available","Serves Alcohol","Digital Payments","Free Wifi","Full Bar",,,,,,,,,,,,,,,,,,,,,,,,"Salad","Calamari","Salmon",,,,,,,,,,,,,,,,,,,,
"#38 of 1,048 places to eat in Nairobi","American","Steakhouse","Bar","Barbecue","Vegan Options","Gluten Free Options",,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/17/45/2f/25/the-grilll-shack-launch.jpg","88",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"http://www.thegrilllshackkenya.co.ke/","Closed Now","http://www.thegrilllshackkenya.co.ke/","10","5","9","16","144","Nairobi","Kenya",,,"Westlands Road","Westgate Mall",,,"","3.9997942447662354","Restaurants",,"$$ - $$$","+254 700 935512","RESTAURANT","184","false",,"This is what we are all about! The Grilll Shack is homegrown in Dubai, offering a predominantly meaty menu of steaks, ribs and burgers in a casual yet industrial style setting in The Westgate Shopping Mall. American at the core, with influences of food from across the globe. The open style kitchen presents something unique to its food court setting, allowing diners to feast with their eyes and enjoy the theatre of the kitchen. Alongside towering burgers, made with 100% pure Angus beef, quality wet-aged steaks and melt in the mouth ribs, the menu offers an enticing selection of starters, burritos, salads, seafood and more.","Nairobi","false",,"restaurant","16658568","grilllshack@simbisakenya.co.ke","38","832","The Grilll Shack Kenya","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"Westlands Road Westgate Mall, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d16658568-Reviews-The_Grilll_Shack_Kenya-Nairobi.html","-1.256944","36.803333","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Delivery","Takeout","Reservations","Seating","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service","Digital Payments",,,,,,,,,,,,,,,,,,,,,"Cheeseburger","Burger","Ribs","Salad","Lamb chops","Beef",,,,,,,,,,,,,,,,,
