cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7,cuisines/8,cuisines/9,cuisines/10,cuisines/11,cuisines/12,cuisines/13,cuisines/14,dishes/0,dishes/1,dishes/2,dishes/3,dishes/4,dishes/5,dishes/6,dishes/7,dishes/8,dishes/9,dishes/10,dishes/11,dishes/12,dishes/13,dishes/14,dishes/15,dishes/16,dishes/17,dishes/18,dishes/19,dishes/20,dishes/21,dishes/22,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9,features/10,features/11,features/12,features/13,features/14,features/15,features/16,features/17,features/18,features/19,features/20,features/21,features/22,features/23,features/24,features/25,features/26,features/27,features/28,features/29,ownersTopReasons,ownersTopReasons/sectionHeader,ownersTopReasons/sponsoredBy,ownersTopReasons/topReasons/0/header,ownersTopReasons/topReasons/0/image_url,ownersTopReasons/topReasons/0/isSearchTerm,ownersTopReasons/topReasons/0/keyword,ownersTopReasons/topReasons/0/linkText,ownersTopReasons/topReasons/0/rank,ownersTopReasons/topReasons/0/review,ownersTopReasons/topReasons/0/review/rating,ownersTopReasons/topReasons/0/review/reviewId,ownersTopReasons/topReasons/0/review/screenName,ownersTopReasons/topReasons/0/text,ownersTopReasons/topReasons/1/header,ownersTopReasons/topReasons/1/image_url,ownersTopReasons/topReasons/1/isSearchTerm,ownersTopReasons/topReasons/1/keyword,ownersTopReasons/topReasons/1/linkText,ownersTopReasons/topReasons/1/rank,ownersTopReasons/topReasons/1/review,ownersTopReasons/topReasons/1/review/rating,ownersTopReasons/topReasons/1/review/reviewId,ownersTopReasons/topReasons/1/review/screenName,ownersTopReasons/topReasons/1/text,ownersTopReasons/topReasons/2/header,ownersTopReasons/topReasons/2/image_url,ownersTopReasons/topReasons/2/isSearchTerm,ownersTopReasons/topReasons/2/keyword,ownersTopReasons/topReasons/2/linkText,ownersTopReasons/topReasons/2/rank,ownersTopReasons/topReasons/2/review,ownersTopReasons/topReasons/2/review/rating,ownersTopReasons/topReasons/2/review/reviewId,ownersTopReasons/topReasons/2/review/screenName,ownersTopReasons/topReasons/2/text,hours,hours/timezone,hours/weekRanges/0/0/close,hours/weekRanges/0/0/open,hours/weekRanges/0/1/close,hours/weekRanges/0/1/open,hours/weekRanges/0/2/close,hours/weekRanges/0/2/open,hours/weekRanges/1/0/close,hours/weekRanges/1/0/open,hours/weekRanges/1/1/close,hours/weekRanges/1/1/open,hours/weekRanges/1/2/close,hours/weekRanges/1/2/open,hours/weekRanges/2/0/close,hours/weekRanges/2/0/open,hours/weekRanges/2/1/close,hours/weekRanges/2/1/open,hours/weekRanges/2/2/close,hours/weekRanges/2/2/open,hours/weekRanges/3/0/close,hours/weekRanges/3/0/open,hours/weekRanges/3/1/close,hours/weekRanges/3/1/open,hours/weekRanges/3/2/close,hours/weekRanges/3/2/open,hours/weekRanges/4/0/close,hours/weekRanges/4/0/open,hours/weekRanges/4/1/close,hours/weekRanges/4/1/open,hours/weekRanges/4/2/close,hours/weekRanges/4/2/open,hours/weekRanges/5/0/close,hours/weekRanges/5/0/open,hours/weekRanges/5/1/close,hours/weekRanges/5/1/open,hours/weekRanges/5/2/close,hours/weekRanges/5/2/open,hours/weekRanges/6/0/close,hours/weekRanges/6/0/open,hours/weekRanges/6/1/close,hours/weekRanges/6/1/open,hours/weekRanges/6/2/close,hours/weekRanges/6/2/open,mealTypes/0,mealTypes/1,mealTypes/2,mealTypes/3,mealTypes/4,mealTypes/5,longitude,category,ancestorLocations/0/abbreviation,ancestorLocations/0/id,ancestorLocations/0/name,ancestorLocations/0/subcategory,ancestorLocations/1/abbreviation,ancestorLocations/1/id,ancestorLocations/1/name,ancestorLocations/1/subcategory,ancestorLocations/2/abbreviation,ancestorLocations/2/id,ancestorLocations/2/name,ancestorLocations/2/subcategory,rankingDenominator,addressObj/city,addressObj/country,addressObj/postalcode,addressObj/state,addressObj/street1,addressObj/street2,establishmentTypes/0,establishmentTypes/1,neighborhoodLocations/0/id,neighborhoodLocations/0/name,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,latitude,dietaryRestrictions/0,dietaryRestrictions/1,dietaryRestrictions/2,dietaryRestrictions/3,dietaryRestrictions/4,dietaryRestrictions/5,address,photoCount,rankingString,phone,localName,rawRanking,rankingPosition,openNowText,name,website,subcategories/0,description,priceRange,type,webUrl,email,rating,localAddress,image,menuWebUrl,numberOfReviews,isClosed,isLongClosed,locationString,id,priceLevel
Vegetarian Friendly,Vegan Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.805763,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,07 Westlands Road,,Restaurants,,,,5,2,5,12,64,-1.266647,,,,,,,"07 Westlands Road, Nairobi Kenya",16,"#78 of 1,048 places to eat in Nairobi",+254 20 8155399,,3.593975782,78,,Royal Kitchen Indian And Chinese Restaurant,https://www.facebook.com/RK.WESTLANDS/,Sit down,"Located on the Westlands Road, Westlands, the Restaurant’s central location provides the perfect balance of comfort and privacy. The quaint, warm Royal Kitchen offers an extensive menu of Indian-Chinese and Continental cuisine, beverages, desserts and a daily special menu. Our doors are open from 12am – 3.30pm for Lunch and 6.00pm to 10.30pm for Dinner, a coffee menu is available anytime of the day. If you are looking to enjoy a Casual meal in a relaxed atmosphere then Royal Kitchen is the place for you. Whether it’s a light lunch of fresh salads, meaty sandwiches and delicious pastas, an aromatic cup of tea or a revitalizing cup of coffee ; or a moreish lunch of mouthwatering Indian and Chinese delicacies, we at Royal Kitchen are ready to offer you a memorable dining experience. Open seven days a week, anytime is a good time to stop by the Restaurant.","KES 1,482 - KES 2,965",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d3439805-Reviews-Royal_Kitchen_Indian_And_Chinese_Restaurant-Nairobi.html,,4.5,,https://media-cdn.tripadvisor.com/media/photo-w/04/a8/fa/04/royal-kitchen.jpg,https://www.prideinn.co.ke/hotels-in-nairobi/prideinn-westlands/assets/images/ROYAL%2520KITCHEN%2520ALA%2520CARTE%2520MENU%2520PRIDEINN%2520WESTLANDS.pdf,88,FALSE,FALSE,Nairobi,3439805,$$ - $$$
Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seating,Television,Wheelchair Accessible,Serves Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1380,720,,,,,1380,720,,,,,1380,720,,,,,1380,720,,,,,1380,720,,,,,1380,720,,,,,1380,720,,,,,Lunch,Dinner,Drinks,,,,36.82284,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,100,,Corner of Kimathi Street and Kenyatta Avenue,"1st floor, Sarova Stanley Hotel",Restaurants,,20484493,Nairobi Central Business District,0,1,3,13,40,-1.283999,Lunch,Dinner,Drinks,,,,"Corner of Kimathi Street and Kenyatta Avenue 1st floor, Sarova Stanley Hotel, Nairobi 00100 Kenya",23,"#98 of 1,048 places to eat in Nairobi",+254 20 2757000,,3.497383118,98,Open Now,Exchange Bar,http://www.sarovahotels.com,Sit down,"History comes to life at The Exchange Bar, once the site of Nairobi's first Stock Exchange from 1954. In 1922, The Long Bar,the Stanley's precursor to The Exchange Bar, famously took delivery of the first ever order of Tusker beer from Kenya Breweries. The bar retains the feel of a traditional English Gentleman's club while exuding a casual elegance and warm atmosphere. A perfect place to enjoy a single malt whisky or sensational cocktails accompanied with a variety of bar snacks.","KES 1,482 - KES 2,224",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d3267178-Reviews-Exchange_Bar-Nairobi.html,thestanley@sarovahotels.com,4.5,,https://media-cdn.tripadvisor.com/media/photo-o/03/a8/b5/8f/exchange-bar-counter.jpg,,57,FALSE,FALSE,Nairobi,3267178,$$ - $$$
Indian,Asian,Vegetarian Friendly,Vegan Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Reservations,Outdoor Seating,Seating,Parking Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Free Wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1350,690,,,,,1350,690,,,,,1350,690,,,,,1350,690,,,,,1350,690,,,,,1350,690,,,,,1350,690,,,,,Lunch,Dinner,Drinks,,,,36.801517,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,"Lower Kabete Road, The Pavilion, 2nd floor","Junction of Lower Kabete and Brookside drive, Next to Westside Tower",Restaurants,,,,2,1,9,25,34,-1.259149,Lunch,Dinner,Drinks,,,,"Lower Kabete Road, The Pavilion, 2nd floor Junction of Lower Kabete and Brookside drive, Next to Westside Tower, Nairobi Kenya",36,"#96 of 1,048 places to eat in Nairobi",+254 735 959595,,3.499505997,96,Closes in 2 min,Tandoori Patio,http://tandooripatio.co.ke/,Sit down,,"KES 1,482 - KES 2,520",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d8417064-Reviews-Tandoori_Patio-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/16/62/9e/09/lovely-evening-sunset.jpg,https://tandooripatio.co.ke/indian/,71,FALSE,FALSE,Nairobi,8417064,$$ - $$$
African,Bar,Pizza,Barbecue,Grill,Pub,,,,,,,,,,Burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,Breakfast,Lunch,Dinner,,,,36.814068,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,"0.6a, Ktisuru Road",,Restaurants,,,,6,9,7,5,34,-1.283211,Breakfast,Lunch,Dinner,,,,"0.6a, Ktisuru Road, Nairobi Kenya",226,"#153 of 1,048 places to eat in Nairobi",+254 703 212121,,3.302849531,153,Open Now,Ankole Grill Kitisuru,http://www.ankole.co.ke,,"Ankole Grill Kitisuru, Fusing familiar Steakhouse classics with African-inspired flavours from around the continent. Named after the iconic cattle breed of East Africa, the Ankole Watusi, we aspire to bring you a unique African steakhouse experience. Ankole Grill Kitisuru has outdoor seating, covered patio and an open fireplace. Perfect for sipping one of our signature cocktails.",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d23556924-Reviews-Ankole_Grill_Kitisuru-Nairobi.html,admin@ankole.co.ke,4,,https://media-cdn.tripadvisor.com/media/photo-o/2a/61/54/da/ankole-grill-cajun-grilled.jpg,https://www.ankole.co.ke/food#food-intro,61,FALSE,FALSE,Nairobi,23556924,
Mediterranean,European,African,Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table Service,Seating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1439,0,,,,,1439,0,,,,,1439,0,,,,,1439,0,,,,,1439,0,,,,,1439,0,,,,,1439,0,,,,,Breakfast,Lunch,Dinner,Late Night,Drinks,,36.925552,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,Jomo Kenyatta International Airport,,Restaurants,,,,3,3,3,9,21,-1.331592,Breakfast,Lunch,Dinner,Late Night,Drinks,,"Jomo Kenyatta International Airport, Nairobi Kenya",40,"#156 of 1,048 places to eat in Nairobi",,,3.297462463,156,Open Now,Paul Caffe,https://www.facebook.com/PAUL-CAFFE-JKIA-1595037830739221/,,"Paul Caffe was established back in 2014 and comes with a wealth of experience in the food industry. Fresh and delicious forms a big part of our DNA, from our finger-licking delicacies to our diverse cuisines. We have a wide array of services for our customers, from in-dining to outdoor catering services.",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d14961228-Reviews-Paul_Caffe-Nairobi.html,info@paulcaffekenya.com,4,,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/22/71/b0/inside.jpg,https://paulcaffe.com/menu/,39,FALSE,FALSE,Nairobi,14961228,$$ - $$$
Bar,Mediterranean,Lebanese,Pub,Middle Eastern,Vegetarian Friendly,Vegan Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reservations,Outdoor Seating,Seating,Serves Alcohol,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinner,Lunch,,,,,36.79528,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,1939 - 006,,Argwings Kodhek Rd,Four Points by Sheraton,Restaurants,,,,0,0,6,24,24,-1.293732,Dinner,Lunch,,,,,"Argwings Kodhek Rd Four Points by Sheraton, Nairobi 1939 - 006 Kenya",47,"#93 of 1,048 places to eat in Nairobi",+254 20 2927000,,3.518994093,93,,Mezze on the Deck,http://www.fourpointsnairobihurlingham.com,Sit down,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d6672512-Reviews-Mezze_on_the_Deck-Nairobi.html,,4.5,,https://media-cdn.tripadvisor.com/media/photo-o/0f/81/a4/40/caption.jpg,,54,FALSE,FALSE,Nairobi,6672512,$$ - $$$
African,Cafe,Barbecue,Diner,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Reservations,Outdoor Seating,Buffet,Parking Available,Accepts American Express,Accepts Mastercard,Accepts Visa,Free Wifi,Accepts Discover,Accepts Credit Cards,Non-smoking restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1320,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,Breakfast,Lunch,Dinner,Drinks,,,36.795277,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Jabavu road,,Restaurants,,,,0,0,0,1,9,-1.292025,Breakfast,Lunch,Dinner,Drinks,,,"Jabavu road, Nairobi Kenya",1,"#149 of 1,048 places to eat in Nairobi",+254 716 942222,,3.310344219,149,Closed Now,Fez Restaurant,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d26353093-Reviews-Fez_Restaurant-Nairobi.html,,5,,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/c1/4b/ca/maa-s-signature-restaurant.jpg,,10,FALSE,FALSE,Nairobi,26353093,
Cafe,Healthy,Vegetarian Friendly,Vegan Options,,,,,,,,,,,,Burger,Salad,,,,,,,,,,,,,,,,,,,,,,Reservations,Seating,Takeout,Wheelchair Accessible,Serves Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,,,,,,,1200,420,,,,,1200,420,,,,,1200,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,Breakfast,Lunch,Dinner,,,,36.802593,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Woodvale Lane,Centro House,Restaurants,,,,0,0,0,13,19,-1.263411,Breakfast,Lunch,Dinner,,,,"Woodvale Lane Centro House, Nairobi Kenya",30,"#151 of 1,048 places to eat in Nairobi",+254 727 468681,,3.306410789,151,Closed Now,Casual Bite,http://www.facebook.com/casualbiteke,Café,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d7268389-Reviews-Casual_Bite-Nairobi.html,info@casualbite.co.ke,4.5,,https://media-cdn.tripadvisor.com/media/photo-o/06/f8/96/f2/casual-bite.jpg,,32,FALSE,FALSE,Nairobi,7268389,$$ - $$$
Bar,Diner,Indian,International,European,Pub,Vegetarian Friendly,,,,,,,,,Burger,Curry,,,,,,,,,,,,,,,,,,,,,,Outdoor Seating,Seating,Parking Available,Wheelchair Accessible,Full Bar,Reservations,Serves Alcohol,Free Wifi,Accepts Credit Cards,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1260,360,,,,,1260,360,,,,,1080,360,,,,,1080,360,,,,,1260,360,,,,,1260,360,,,,,1260,360,,,,,Breakfast,Lunch,Dinner,,,,36.809093,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,502,,Wilson Airport,,Restaurants,,,,1,7,17,63,57,-1.322386,Breakfast,Lunch,Dinner,,,,"Wilson Airport, Nairobi 00502 Kenya",62,"#80 of 1,048 places to eat in Nairobi",+254 722 205936,,3.568279505,80,Closed Now,Aero Club of East Africa Restaurant,http://www.aeroclubea.com,Sit down,The Aero Club of East Africa's Restaurant is now managed by the Club and it is at the moment for members-only.,"KES 1,482 - KES 4,447",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d3433263-Reviews-Aero_Club_of_East_Africa_Restaurant-Nairobi.html,consult@aeroclubea.com,4,,https://media-cdn.tripadvisor.com/media/photo-o/16/9c/38/56/restaurant-gardens.jpg,,145,FALSE,FALSE,Nairobi,3433263,$$ - $$$
Italian,European,Pizza,Mediterranean,Vegetarian Friendly,,,,,,,,,,,Pasta,Lasagne,Pesto,,,,,,,,,,,,,,,,,,,,,Wheelchair Accessible,Takeout,Reservations,Outdoor Seating,Seating,Free off-street parking,Serves Alcohol,Wine and Beer,Accepts American Express,Accepts Mastercard,Accepts Visa,Cash Only,Accepts Credit Cards,Parking Available,Highchairs Available,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1350,720,,,,,1350,720,,,,,1350,720,,,,,1350,720,,,,,1350,720,,,,,1350,720,,,,,1350,720,,,,,Lunch,Dinner,,,,,36.820423,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Limuru Road,Muthaiga Shopping Center,Restaurants,,,,11,9,9,46,37,-1.249783,Lunch,Dinner,,,,,"Limuru Road Muthaiga Shopping Center, Nairobi Kenya",35,"#154 of 1,048 places to eat in Nairobi",+254 722 624100,,3.300611973,154,Closes in 2 min,La Dolce Vita,http://www.dolcevitakenya.net/,Sit down,"Aperfect balance of elegance, comfort and refinement. A corner of Italy in Nairobi Romantic moment, lived in the large terrace, become uforgettable moments Italian cuisine ----in the best tradition, homemade mozzarella and pasta, pizza baked in a wood oven, the desserts of our production From the best Italian wineries a selection of over 80 varieties of wines are the pride of our restaurant",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d4040718-Reviews-La_Dolce_Vita-Nairobi.html,booking@dolcevitakenya.net,4,,https://media-cdn.tripadvisor.com/media/photo-o/0b/df/3d/e8/photo2jpg.jpg,http://www.dolcevitakenya.net/our-menu/,112,FALSE,FALSE,Nairobi,4040718,$$ - $$$
African,European,Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reservations,Seating,Private Dining,Street Parking,Television,Serves Alcohol,Free Wifi,Accepts Credit Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,,,,,,,1410,420,,,,,1410,420,,,,,1410,420,,,,,1410,420,,,,,1410,420,,,,,1410,420,,,,,Dinner,Breakfast,Lunch,Drinks,,,36.81629,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,Utalii Street,View Park Towers Ground Floor and Street Entrance on Utalii Lane,Restaurants,,20484493,Nairobi Central Business District,0,1,1,8,13,-1.28339,Dinner,Breakfast,Lunch,Drinks,,,"Utalii Street View Park Towers Ground Floor and Street Entrance on Utalii Lane, Nairobi Kenya",28,"#155 of 1,048 places to eat in Nairobi",+254 20 5147600,,3.298302412,155,Open Now,The Collective Restaurant,https://www.facebook.com/thecollectivenbo/,Sit down,"The Collective is designed to delight the senses and attract people looking for more than just good food. The Collective is a dynamic space combining a restaurant, lounge, and art gallery providing a world class menu with an African twist. In addition to great food and exquisite cocktails The Collective features talented artists and musicians from across the continent.","KES 88,942 - KES 444,708",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d16746444-Reviews-The_Collective_Restaurant-Nairobi.html,info@thecollectivelimited.com,4.5,,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d6/a1/ae/stuffed-chicken-wrapped.jpg,,23,FALSE,FALSE,Nairobi,16746444,$$ - $$$
Bar,Indian,Cafe,Pub,,,,,,,,,,,,Burger,Wings,,,,,,,,,,,,,,,,,,,,,,Outdoor Seating,Seating,Serves Alcohol,Full Bar,Accepts Credit Cards,Wine and Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1440,720,,,,,,,,,,,1440,720,,,,,1440,720,,,,,1440,720,,,,,1440,720,,,,,1440,720,,,,,Lunch,Dinner,Breakfast,Late Night,Drinks,,36.803825,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,800,,Parklands Road,Westlands,Restaurants,,,,7,1,9,30,28,-1.262589,Lunch,Dinner,Breakfast,Late Night,Drinks,,"Parklands Road Westlands, Nairobi 00800 Kenya",45,"#142 of 1,048 places to eat in Nairobi",+254 777 779055,,3.324347734,142,Open Now,The Alchemist Bar,http://www.alchemist254.com,Fast food,"The Alchemist Bar is a collective of local and global entrepreneurs in food, fashion, music, and art. We are an outdoor venue in the heart of Westlands, Nairobi and host a wide variety of events on a nightly basis. Whether you're looking for a wide range of food selections, a place to chill and have a Tusker, or a fantastic night out with hip hop or afrohouse music, we got you covered!",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d10290440-Reviews-The_Alchemist_Bar-Nairobi.html,info@alchemist254.com,4,,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/a7/84/ed/flea-market-on-the-first.jpg,,74,FALSE,FALSE,Nairobi,10290440,$$ - $$$
Bar,Pizza,European,International,Vegetarian Friendly,Vegan Options,,,,,,,,,,Burger,Tapas,Salad,,,,,,,,,,,,,,,,,,,,,Takeout,Reservations,Seating,Parking Available,Television,Wheelchair Accessible,Serves Alcohol,Full Bar,Free Wifi,Table Service,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,Lunch,Dinner,Late Night,,,,36.706635,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,502,,Karen Shopping Centre,,Restaurants,,,,14,4,34,66,46,-1.323039,Lunch,Dinner,Late Night,,,,"Karen Shopping Centre, Nairobi 00502 Kenya",42,"#144 of 1,048 places to eat in Nairobi",+254 728 272902,,3.317704916,144,Closed Now,Que Pasa,http://www.facebook.com/quepasakenya,Sit down,"Que Pasa is a vibrant Bar & Bistro right in the heart of Karen, offering a gorgeous selection of spirits and an excellent menu from breakfast through lunch and dinner. Don't forget to check our Que Pasa Kenya Facebook page for any upcoming events, exhibitions, performances.. Welcome!","KES 741 - KES 2,965",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d3767853-Reviews-Que_Pasa-Nairobi.html,quepasakaren@gmail.com,4,,https://media-cdn.tripadvisor.com/media/photo-o/03/58/ca/cb/que-pasa.jpg,,164,FALSE,FALSE,Nairobi,3767853,$$ - $$$
Italian,Pizza,Mediterranean,European,Vegetarian Friendly,Vegan Options,Gluten Free Options,,,,,,,,,Pasta,Lasagne,Risotto,Pesto,,,,,,,,,,,,,,,,,,,,Takeout,Reservations,Outdoor Seating,Seating,Parking Available,Wheelchair Accessible,Serves Alcohol,Wine and Beer,Accepts American Express,Accepts Mastercard,Accepts Visa,Free Wifi,Accepts Credit Cards,Highchairs Available,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,Breakfast,Lunch,Dinner,Brunch,,,36.70356,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Dagoretti,Karen Hub,Restaurants,,,,3,8,11,42,55,-1.320163,Breakfast,Lunch,Dinner,Brunch,,,"Dagoretti Karen Hub, Nairobi Kenya",39,"#87 of 1,048 places to eat in Nairobi",+254 705 469427,,3.535660744,87,Open Now,La Cascina,http://lacascinarestaurant.com,,"Italian Restaurant , Pizzeria, Homemade Icecream",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d10140471-Reviews-La_Cascina-Nairobi.html,lacascinakaren@gmail.com,4,,https://media-cdn.tripadvisor.com/media/photo-o/0d/8f/8a/71/the-veranda.jpg,http://lacascinarestaurant.com/wp-content/uploads/2019/02/Menu-January-2019.pdf,119,FALSE,FALSE,Nairobi,10140471,$$ - $$$
Cafe,European,Vegetarian Friendly,Vegan Options,,,,,,,,,,,,Sandwiches,Pasta,Burger,Salad,Pesto,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Outdoor Seating,Seating,Serves Alcohol,Reservations,Wheelchair Accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1440,450,,,,,1440,450,,,,,1440,450,,,,,1440,450,,,,,1440,450,,,,,1440,450,,,,,1440,450,,,,,Breakfast,Lunch,Brunch,Dinner,Late Night,,36.80421,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Limuru Road,Village Market,Restaurants,,20484492,Highridge,15,7,18,55,46,-1.23505,Breakfast,Lunch,Brunch,Dinner,Late Night,,"Limuru Road Village Market, Nairobi Kenya",10,"#137 of 1,048 places to eat in Nairobi",,,3.337735415,137,Open Now,Artcaffe,,Sit down,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d2287737-Reviews-Artcaffe-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/05/a3/2d/94/artcaffe.jpg,,141,FALSE,FALSE,Nairobi,2287737,$$ - $$$
