"dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","subcategories/0","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","rankingPosition","localName","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","openNowText","rankingString","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","priceRange","id","photoCount","address","name","menuWebUrl","webUrl","description","rawRanking","latitude","category","website","type","image","rankingDenominator","localAddress","phone","isLongClosed","isClosed","establishmentTypes/0","establishmentTypes/1","numberOfReviews","email","longitude","locationString","priceLevel","rating"
"Burger",,,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"70 Dagoretti Rd","House of Treasures Emporium",,,"Africa/Nairobi","1170","720",,,,,"1170","720","1170","720","1170","720","1170","720","1170","720",,,"American","African",,,,,,,"0","0","1","2","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","2","","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,,,,,"Closed Now","#2 of 29 places to eat in Karen","Lunch","Dinner",,,,,,"23822743","24","70 Dagoretti Rd House of Treasures Emporium, Karen, Nairobi Kenya","Mama Rocks Gourmet Burgers - Karen",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d23822743-Reviews-Mama_Rocks_Gourmet_Burgers_Karen-Karen_Nairobi.html","GOURMET BURGERS AFRICAN STYLE Bringing the African inspired ‘Gourmet Burger’ to the vibrant city of Nairobi, Mama Rocks is pioneering the Nairobi street food scene with an afro-cool food truck like no other. Created with love and the freshest, natural ingredients, every care has been taken to produce our range of exciting and unique burgers. Mama Rocks is brought to you by us, Samantha and Natalie, sisters who just want you to have great food and have fun! On a regular day you will can find our Food Truck based in House of Treasures, 70 Dagoretti Road/ Africa Reit Lane, Karen. Opposite The Hub Mall. The Mama Rocks food truck will also be COMING TO YOU – at the heart of the events scene. Follow us on Facebook or Instagram social media to keep updated about our location. And if you’re not there, MAMA DELIVERS through our partners Hello Food (Mama Rocks), Jumia and Uber eats. MAMA also caters,so for a fun alternative catering.","3.8014137744903564","-1.312343","restaurant","https://www.facebook.com/mamarocksburgers","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/59/f9/15/wings-of-passion.jpg","22",,"+254 705 155155","false","false","Restaurants",,"33","info@mamarocksburgers.com","36.69905","Karen, Nairobi",,"5"
"Pasta","Pesto",,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Ngong Road","Karen Road Junction",,,"Africa/Nairobi","1350","660",,,"1350","660","1350","660","1350","660","1350","660","1350","660","1350","660",,,"Italian","Pizza","Lazio","Central-Italian",,,,,"6","2","2","9","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","3","","Lunch","Dinner","Drinks",,,,"Delivery","Takeout","Private Dining","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Live Music","Dog Friendly","Family style",,,,,,,,"Closed Now","#3 of 29 places to eat in Karen","Lunch","Dinner","Drinks",,,,,"23441650","55","Ngong Road Karen Road Junction, Karen, Nairobi Kenya","Matteo's Italian Restaurant & Bar",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d23441650-Reviews-Matteo_s_Italian_Restaurant_Bar-Karen_Nairobi.html","As a family run Italian Restaurant we are serving  artisan Pizza and traditional Italian dishes in a lush tropical garden setting.
Experience the taste of Italy in the heart of Karen, Nairobi.","3.599468469619751","-1.316298","restaurant","https://www.facebook.com/matteos.restaurant.karen.nairobi","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/3a/2a/a2/indulge-in-the-perfect.jpg","22",,"+254 110 098333","false","false","Restaurants",,"68","hello@matteos.co.ke","36.717045","Karen, Nairobi",,"4.5"
"Sandwiches","Salmon","Prawns","Beef","Cakes","Fish",,,,,,,,,,,,,,"Nairobi","Kenya","00100",,"Mbagathi Ridge",,"Sit down",,"Africa/Nairobi","1439","0",,,"1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,,"European","International","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"6","12","20","53","97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"60","","Breakfast","Lunch","Dinner","Brunch",,,"Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Table Service","Highchairs Available",,,,,,,,,,,,,"Open Now","#60 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner","Brunch",,,,"6622735","99","Mbagathi Ridge, Nairobi 00100 Kenya","Hemingway's Brasserie Nairobi","https://www.hemingways-collection.com/nairobi/dining/brasserie-menu-nairobi/","https://www.tripadvisor.com/Restaurant_Review-g294207-d6622735-Reviews-Hemingway_s_Brasserie_Nairobi-Nairobi.html","With a Hollywood themed décor and serving breakfast, lunch and dinner, the Brasserie offers a wide choice of international dishes with modern European and South Asian flavours.","3.7430965900421143","-1.343006","restaurant","http://www.hemingways-collection.com/nairobi/dining","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/12/57/4a/86/hemingways-nairobi-brasserie.jpg","833",,"+254 718 529070","false","false","Restaurants",,"188","dining.nairobi@hemingways.co","36.704895","Nairobi","$$$$","4"
"Pasta","Lasagne","Risotto","Pesto",,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Dagoretti","Karen Hub",,,"Africa/Nairobi","1380","540",,,"1380","540","1380","540","1380","540","1380","540","1380","540","1380","540",,,"Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"3","8","11","42","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"87","","Breakfast","Lunch","Dinner","Brunch",,,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Accepts Credit Cards","Highchairs Available","Full Bar",,,,,,,,"Closes in 15 min","#87 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner","Brunch",,,,"10140471","39","Dagoretti Karen Hub, Nairobi Kenya","La Cascina","http://lacascinarestaurant.com/wp-content/uploads/2019/02/Menu-January-2019.pdf","https://www.tripadvisor.com/Restaurant_Review-g294207-d10140471-Reviews-La_Cascina-Nairobi.html","Italian Restaurant , Pizzeria, Homemade Icecream","3.535660743713379","-1.320163","restaurant","http://lacascinarestaurant.com","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0d/8f/8a/71/the-veranda.jpg","833",,"+254 705 469427","false","false","Restaurants",,"119","lacascinakaren@gmail.com","36.70356","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"80 Ngong Road","To the left of Velmac Furniture.","Sit down",,"Africa/Nairobi","900","720","1425","1080",,,,,"1440","1080","1440","1080","1440","1080","900","720","1425","1080","African","International","Contemporary","Fusion",,,,,"0","0","1","1","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"90","","Dinner","Late Night","Drinks",,,,"Reservations","Outdoor Seating","Private Dining","Parking Available","Free off-street parking","Serves Alcohol","Wine and Beer","Accepts Mastercard","Accepts Visa","Free Wifi","Accepts Credit Cards","Dog Friendly","Non-smoking restaurants",,,,,,,,,,"Closed today","#90 of 1,048 places to eat in Nairobi","Dinner","Late Night","Drinks",,,,"KES 1,111,770 - KES 1,630,596","23044047","71","80 Ngong Road To the left of Velmac Furniture., Nairobi Kenya","Embark Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d23044047-Reviews-Embark_Restaurant-Nairobi.html","We are an intimate 12 - seater restaurant, offering a 7 courses tasting menu from Wednesdays - Sundays between 6:00 P.M. to 11:00 P.M. We also offer lunch on Saturdays and Sundays between 12:00 P.M. and 3:00 P.M.","3.533381462097168","-1.321254","restaurant","http://www.facebook.com/Embarkrestaurant","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/6c/48/60/chicken-shiro.jpg","833",,"+254 700 028963","false","false","Restaurants",,"25","embarkation12@gmail.com","36.708397","Nairobi","$$$$","5"
"Prawns","Lamb",,,,,,,,,,,,,,,,,,"Karen","Kenya","24815",,,"The Hub","Sit down",,"Africa/Nairobi","1380","660",,,"1380","660","1380","660","1380","660","1380","660","1380","660","1380","660",,,"Indian","Vegetarian Friendly","Vegan Options",,,,,,"9","5","10","35","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","5","","Dinner","Brunch","Drinks","Lunch",,,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Table Service","Gift Cards Available",,,,,,,"Open Now","#5 of 29 places to eat in Karen","Dinner","Brunch","Drinks","Lunch",,,"KES 74,118 - KES 296,472","11949016","37","The Hub, Karen, Nairobi 24815 Kenya","The Mayura","http://www.themayura.com/menu.php","https://www.tripadvisor.com/Restaurant_Review-g12559418-d11949016-Reviews-The_Mayura-Karen_Nairobi.html","Mayura (Sanskrit: मयूर) is a Sanskrit word for peacock which is one of the most beautiful and sacred birds of the Hindu mythology. The Mayura experience has been designed around the ‘peacock’ theme. Be mesmerized by the vibrant and colorful interiors - the giant peacock feather décor on the ceiling, golden colored peacocks that adorn the walls, garden theme on the mezzanine to the breathtaking border and bar design.","3.4858458042144775","-1.3202","restaurant","http://www.themayura.com","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0e/60/46/e4/great-ambiance.jpg","22",,"+254 732 224422","false","false","Restaurants",,"121","info@themayura.com","36.703335","Karen, Nairobi","$$ - $$$","4"
"Wings",,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Kipevu Road","Off Langata South Road Near Banda School Karen","Café",,"Africa/Nairobi","1320","540",,,"1260","540","1260","540","1260","540","1260","540","1290","540","1320","540",,,"Indian","Barbecue","Vegan Options","Vegetarian Friendly","Halal",,,,"0","0","0","15","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"103","","Lunch","Dinner",,,,,"Delivery","Takeout","Reservations","Wheelchair Accessible","Seating",,,,,,,,,,,,,,,,,,"Closed Now","#103 of 1,048 places to eat in Nairobi","Lunch","Dinner",,,,,"KES 14,824 - KES 222,354","9560794","23","Kipevu Road Off Langata South Road Near Banda School Karen, Nairobi Kenya","Sakinas Bbq",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d9560794-Reviews-Sakinas_Bbq-Nairobi.html","Where you’ll find authentic Indian cuisine, plus local delights, all served in “ THE little restaurant “ . So if you’re craving good old-fashioned favorites from the tandoor and zesty curries brought to life by a plethora of spices from the recipes of our grandmothers ...!","3.4762086868286133","-1.364428","restaurant",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/10/7e/4c/b4/bohri-culture-and-cuisine.jpg","833",,"+254 733 851928","false","false","Restaurants",,"38",,"36.755703","Nairobi","$$ - $$$","4.5"
"Burger","Salad","Curry","Beef","Lamb","Fish","Pork",,,,,,,,,,,,,"Nairobi","Kenya","00502",,"165 Ngong Road","Karen Next to St Christophers School","Sit down",,"Africa/Nairobi","1320","600",,,"1320","600","1320","600","1320","600","1320","600","1320","600","1320","600",,,"Fusion","Vegetarian Friendly","Vegan Options",,,,,,"18","17","27","66","94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"104","","Lunch","Dinner","Brunch","Drinks",,,"Takeout","Outdoor Seating","Seating","Parking Available","Free off-street parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Discover","Reservations","Television","Private Dining","Accepts Credit Cards","Playgrounds","Family style","Closed Now","#104 of 1,048 places to eat in Nairobi","Lunch","Dinner","Brunch","Drinks",,,"KES 2,372 - KES 6,374","5484496","122","165 Ngong Road Karen Next to St Christophers School, Nairobi 00502 Kenya","Dari Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d5484496-Reviews-Dari_Restaurant-Nairobi.html","The restaurant has been built at the edge of a natural spring, in the middle of this indigenous forest with utmost sensitivity to environmental conservation. We did our landscaping with hand wheelbarrows to reduce vehicular footprint in the forest. Our lawns can host up to 4 functions at the same time, totaling 1200 pax. We also have an ample secure parking facility. One of Dari's best secrets lies in the gardens which are patrolled by beautiful Impalas, Dik-diks, Tree hyrax, Tree squirrels and birds like peacocks, sunbirds to name a few.","3.474431276321411","-1.318298","restaurant","http://www.darirestaurant.com","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/7b/3f/34/indoor-seating.jpg","833",,"+254 706 521573","false","false","Restaurants",,"222","info@darirestaurant.com","36.71561","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00100",,"Karen","","Sit down",,,,,,,,,,,,,,,,,,,,,"European","Vegetarian Friendly",,,,,,,"0","1","2","13","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"241","","Dinner","Breakfast","Lunch",,,,"Seating","Reservations","Outdoor Seating","Table Service",,,,,,,,,,,,,,,,,,,,"#241 of 1,048 places to eat in Nairobi","Dinner","Breakfast","Lunch",,,,"KES 741 - KES 1,482","1059630","5","Karen, Nairobi 00100 Kenya","Macushla",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d1059630-Reviews-Macushla-Nairobi.html",,"3.1849193572998047","-1.36414","restaurant","http://www.macushla.biz","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/10/cd/ad/cd/terasse.jpg","833",,"+254 722 329863","false","false","Restaurants",,"26","macushla@africaonline.co.ke","36.73653","Nairobi","$$ - $$$","4"
"Tempura","Salmon","Tuna","Sashimi","Fish",,,,,,,,,,,,,,,"Nairobi","Kenya","24168",,"Karen Professional Centre","Karen Road","Sit down",,"Africa/Nairobi","1320","690",,,"1320","690","1320","690","1320","690","1320","690","1320","690","1320","690",,,"Japanese","Sushi","Asian","Vegetarian Friendly","Gluten Free Options",,,,"8","7","17","27","87",,"Top 3 Reasons to Eat Here","Sponsored by: Haru Japanese Restaurant","@@Fresh@@ and Friendly","https://media-cdn.tripadvisor.com/media/photo-s/1a/4c/2c/ab/sushi-rolls.jpg","true","fresh","Read review","1","5","727970222","mirandamcgovern13","he food is fresh, well presented and always tasty.","Favourite for Sushi in Nairobi","https://media-cdn.tripadvisor.com/media/photo-s/1a/4c/32/3a/haru-moriawase.jpg","true","love","Read review","2","5","747267020","melissashepherd","I love Haru, I make an effort to go on all my trips to Nairobi","Consistently great","https://media-cdn.tripadvisor.com/media/photo-s/1a/4c/36/60/super-platter.jpg","true","always","Read review","3","5","750714530","Lyndsey M","My most visited restaurant in Nairobi for both lunch and dinner",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"109","","Lunch","Dinner","Drinks",,,,"Delivery","Takeout","Reservations","Seating","Parking Available","Validated Parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Gift Cards Available",,,,,,"Closed Now","#109 of 1,048 places to eat in Nairobi","Lunch","Dinner","Drinks",,,,"KES 741 - KES 4,447","4540736","144","Karen Professional Centre Karen Road, Nairobi 24168 Kenya","Haru Japanese Restaurant","https://www.facebook.com/HaruRestaurant/menu/","https://www.tripadvisor.com/Restaurant_Review-g294207-d4540736-Reviews-Haru_Japanese_Restaurant-Nairobi.html","Located in Karen, Haru Japanese Restaurant has proven that fresh, innovative and healthy Japanese cuisine has taken pole position as one of the trendiest culinary frontiers in Nairobi. Every dish at Haru Japanese Restaurant has its own signature twist, and each is expertly created and refined to simply leave you relishing for more. Chef Park believes that preparing Japanese Cuisine is an art. Offering an endless selection of enticing dishes to choose from, he makes sure to create a marriage of simplicity, skill and taste ensuring your taste buds are satisfied. A multi-sensory dining experience awaits your palate, with favorites such as the extravagant melt-in- your mouth Sushi, Sashimi and so much more authentic Japanese culinary treats.","3.4616355895996094","-1.327475","restaurant","http://www.facebook.com/HaruRestaurant","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/1a/4c/36/60/super-platter.jpg","832",,"+254 720 945400","false","false","Restaurants",,"146","harukenya@hotmail.com","36.717457","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00200",,,"Karen Crossroads Mall on the 1st Floor",,,"Africa/Nairobi","1260","690",,,"1260","690","1260","690","1260","690","1260","690","1260","690","1260","690",,,"Indian","Vegetarian Friendly","Vegan Options",,,,,,"1","3","1","21","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"130","","Dinner","Drinks","Lunch",,,,"Gift Cards Available","Takeout","Reservations","Seating","Parking Available","Full Bar","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Accepts Discover","Table Service","Delivery","Serves Alcohol",,,,,,,,,"Closed Now","#130 of 1,048 places to eat in Nairobi","Dinner","Drinks","Lunch",,,,,"11894216","30","Karen Crossroads Mall on the 1st Floor, Nairobi 00200 Kenya","Open House Karen","http://openhousekaren.co.ke/index.php/foodmenu/","https://www.tripadvisor.com/Restaurant_Review-g294207-d11894216-Reviews-Open_House_Karen-Nairobi.html","Open House Karen is a restaurant specializing in Indian cuisine. We have a staff of chefs with vast experience and exquisite taste in the preparation of our culinary delights. We use raw materials of the highest quality and strive to provide the best service to make your experience in our restaurant unique.","3.3882341384887695","-1.323313","restaurant","http://www.openhousekaren.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/10/a7/6d/bf/tasty.jpg","833",,"+254 725 585175","false","false","Restaurants",,"53","openhousekaren@gmail.com","36.707882","Nairobi","$$ - $$$","4.5"
"Salad",,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","64829",,"Karen Road","The Waterfront Mall","Sit down",,"Africa/Nairobi","1380","360",,,"1380","360","1380","360","1380","360","1380","360","1380","360","1380","360",,,"Mexican","American","African",,,,,,"1","2","0","32","569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"2","","Breakfast","Lunch","Dinner",,,,"Delivery","Takeout","Reservations","Outdoor Seating","Parking Available","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Waterfront","Playgrounds","Family style","Non-smoking restaurants",,,,,,,,,,"Closes in 15 min","#2 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner",,,,"KES 14,824 - KES 296,472","23196295","117","Karen Road The Waterfront Mall, Nairobi 64829 Kenya","CJ's Waterfront","https://cjs.co.ke/menu","https://www.tripadvisor.com/Restaurant_Review-g294207-d23196295-Reviews-CJ_s_Waterfront-Nairobi.html","Welcome to CJ’s, a fully fledged restaurant specializing in delivering a relaxed and memorable dining experience. Each location features a unique ambience with tasteful décor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location. We have over 300 carefully selected, mouthwatering menu items. Whatever your taste, it’s well catered for. We value you. That’s why you’ll always be served with excellence by each member of our highly skilled team members.","4.910060405731201","-1.324772","restaurant","http://cjs.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/27/2c/0d/f9/welcome-to-cj-s-a-fully.jpg","833",,"+254 701 000090","false","false","Restaurants",,"604","info@cjs.co.ke","36.717556","Nairobi","$","5"
"Crab","Curry","Fish",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Bogani East Road","Off Langata South Road","Sit down",,,,,,,,,,,,,,,,,,,,,"African","Vegetarian Friendly",,,,,,,"4","4","6","20","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"198","","Lunch",,,,,,"Outdoor Seating","Seating","Wheelchair Accessible","Table Service","Serves Alcohol",,,,,,,,,,,,,,,,,,,"#198 of 1,048 places to eat in Nairobi","Lunch",,,,,,,"3946911","26","Bogani East Road Off Langata South Road, Nairobi Kenya","Makutano Grill",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d3946911-Reviews-Makutano_Grill-Nairobi.html",,"3.2321643829345703","-1.353117","restaurant","http://www.facebook.com/malemadlenee","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/09/b4/40/8d/makutano-grill.jpg","832",,"+254 20 3884485","false","false","Restaurants",,"55",,"36.75019","Nairobi","$$ - $$$","4"
"Burger","Tapas","Salad",,,,,,,,,,,,,,,,,"Nairobi","Kenya","00502",,"Karen Shopping Centre",,"Sit down",,"Africa/Nairobi","1320","480",,,"1320","480","1320","480","1320","480","1320","480","1320","480","1320","480",,,"Bar","Pizza","European","International","Vegetarian Friendly","Vegan Options",,,"14","4","34","66","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"144","","Lunch","Dinner","Late Night",,,,"Takeout","Reservations","Seating","Parking Available","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Table Service","Delivery",,,,,,,,,,,,"Closed Now","#144 of 1,048 places to eat in Nairobi","Lunch","Dinner","Late Night",,,,"KES 741 - KES 2,965","3767853","42","Karen Shopping Centre, Nairobi 00502 Kenya","Que Pasa",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d3767853-Reviews-Que_Pasa-Nairobi.html","Que Pasa is a vibrant Bar & Bistro right in the heart of Karen, offering a gorgeous selection of spirits and an excellent menu from breakfast through lunch and dinner. Don't forget to check our Que Pasa Kenya Facebook page for any upcoming events, exhibitions, performances.. Welcome!","3.317704916000366","-1.323039","restaurant","http://www.facebook.com/quepasakenya","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/03/58/ca/cb/que-pasa.jpg","833",,"+254 728 272902","false","false","Restaurants",,"164","quepasakaren@gmail.com","36.706635","Nairobi","$$ - $$$","4"
"Pasta","Lasagne","Pesto",,,,,,,,,,,,,,,,,"Nairobi","Kenya","00505",,"St Daniel Comboni Road","Off Ngong Road",,,"Africa/Nairobi","1380","720",,,,,"1380","720","1380","720","1380","720","1380","720","1380","720",,,"Italian","Pizza","European","Vegetarian Friendly","Vegan Options",,,,"3","0","0","6","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"161","","Lunch","Dinner",,,,,"Reservations","Table Service","Takeout","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,"Closes in 15 min","#161 of 1,048 places to eat in Nairobi","Lunch","Dinner",,,,,,"12612615","23","St Daniel Comboni Road Off Ngong Road, Nairobi 00505 Kenya","La Cantina - Ristopizza & Wine",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d12612615-Reviews-La_Cantina_Ristopizza_Wine-Nairobi.html",,"3.2778544425964355","-1.299956","restaurant","https://www.facebook.com/lacantinaNairobi/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/11/74/7c/76/best-food-in-town.jpg","833",,"+254 797 737664","false","false","Restaurants",,"30",,"36.754498","Nairobi","$$ - $$$","4.5"
