"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Sessa Youth And Recreation Centre Kitengela, Kitengela Kenya","Kitengela","Kenya",,,"Sessa Youth And Recreation Centre Kitengela",,,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","Chinese","American","Indian","African",,"Vyne's Delight offers you quality fresh food, straight out of the kitchen. We strive for healthy living by utilizing high quality ingredients, made with the chef's special recipe. Our aim is to offer good food that meets the taste of everyone.","Breakfast","Lunch","Dinner",,,,,,,,,,"eagleacademicsworldwide@gmail.com","Restaurants",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1140","840",,,"1140","480","1140","480","1140","480","1140","480","1140","480","23622337","https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/c9/35/ec/vyne-s-delight.jpg","false","false","-1.475289",,"","Kitengela, Rift Valley Province","36.96201","Breakfast","Lunch","Dinner",,,,,"Vyne's Delight","1","Closed Now",,"+254 114 256459","2",,,"10","7","#7 of 13 places to eat in Kitengela","5","0","0","0","0","1","3.035149335861206",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d23622337-Reviews-Vyne_s_Delight-Kitengela_Rift_Valley_Province.html",
"Kitengela Ola Petrol Station, Kitengela Kenya","Kitengela","Kenya",,,"Kitengela","Ola Petrol Station",,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,"Bar and Restraurant","Lunch","Dinner",,,,,,,,,,,"eijoedennis@gmail.com","Bars & Pubs","Restaurants",,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","600","1380","600","1380","600","1380","600","1380","600","1380","600","1380","600","24093645","https://media-cdn.tripadvisor.com/media/photo-o/23/b3/68/c5/always-a-good-time.jpg","false","false","-1.523668",,"","Kitengela, Rift Valley Province","36.94647","Lunch","Dinner",,,,,,"The Mancave Bar And Grill","1","Open Now",,"+254 728 620639","2",,,"10","3","#3 of 13 places to eat in Kitengela","5","0","0","0","0","1","3.0428152084350586",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d24093645-Reviews-The_Mancave_Bar_And_Grill-Kitengela_Rift_Valley_Province.html",
"Airport North Road Southfield Mall, Nairobi 00505 Kenya","Nairobi","Kenya","00505",,"Airport North Road","Southfield Mall",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Diner",,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14139828","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/3d/bc/75/java-house.jpg","false","false","-1.33004",,"","Nairobi","36.92415",,,,,,,"https://www.javahouseafrica.com/our-menu/","Java House","8",,,"+254 796 841537","4","$$ - $$$","KES 22,235 - KES 222,354","832","547","#547 of 1,048 places to eat in Nairobi","3.5","0","2","2","2","2","3.0447511672973633","Café","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d14139828-Reviews-Java_House-Nairobi.html","http://www.javahouseafrica.com/"
"Acacia Road Kitengela, Athi River Kenya","Athi River","Kenya",,,"Acacia Road","Kitengela",,"1943153","Athi River","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","restaurant","Diner","African","Barbecue","Vegetarian Friendly",,"The restaurant has an a la carte menu with a a good variety and is an outdoor restaurant set in landscaped gardens. We also have a childrens Fun Park.",,,,,,,,,,,,,"info@pacegardenskenya.com","Restaurants",,"Outdoor Seating","Seating","Parking Available","Serves Alcohol","Full Bar","Digital Payments","Cash Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9560764","https://media-cdn.tripadvisor.com/media/photo-o/09/c2/03/cf/getlstd-property-photo.jpg","false","false","-1.524446",,"","Athi River, Eastern Province","36.896385",,,,,,,,"Pace Gardens","6",,,"+254 719 182029","1","$$ - $$$","KES 59,294 - KES 103,765","3","3","#3 of 4 places to eat in Athi River","4.5","0","0","0","3","3","3.076754093170166","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1943153-d9560764-Reviews-Pace_Gardens-Athi_River_Eastern_Province.html","http://www.pacegardenskenya.com"
"Mombasa Road, Athi River Kenya","Athi River","Kenya",,,"Mombasa Road",,,"1943153","Athi River","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","restaurant","Indian","African","Arabic",,,,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,,,,,,"khansrestausrantandbarbeque@gmail.com","Restaurants",,"Delivery","Takeout","Free Wifi",,,,,,,,,,,,,,,,,"Africa/Nairobi","1410","510","1410","450","1410","450","1410","450","1410","450","1410","450","1410","450","25346336","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/e9/0e/8d/we-are-delighted-to-welcome.jpg","false","false","-1.44316",,"","Athi River, Eastern Province","36.99228","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,"Khan's Restaurant And Barbeque","2","Open Now",,"+254 714 601143","7",,,"3","2","#2 of 4 places to eat in Athi River","5","0","0","0","0","2","3.0802083015441895",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1943153-d25346336-Reviews-Khan_s_Restaurant_And_Barbeque-Athi_River_Eastern_Province.html",
"Lukenya Mombasa Rd Machakos, Athi River 10090 Kenya","Athi River","Kenya","10090",,"Lukenya Mombasa Rd Machakos",,,"1943153","Athi River","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","restaurant",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12092837","https://media-cdn.tripadvisor.com/media/photo-o/10/d6/34/b2/i-recommend-you-visit.jpg","false","false",,,"","Athi River, Eastern Province",,,,,,,,,"Maanzoni Lodge","6",,,"+254 20 2699600","7",,,"3","1","#1 of 4 places to eat in Athi River","4.5","0","0","0","3","3","3.1009862422943115",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1943153-d12092837-Reviews-Maanzoni_Lodge-Athi_River_Eastern_Province.html",
"Behind ROYAL FINNES ESTATE, Kitengela Kenya","Kitengela","Kenya",,,"Behind ROYAL FINNES ESTATE ",,,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,"We are a bar and restaurant with a spacious and ambience to desire. We welcome you any day of the week for an amazing experience.","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,,,,,,,"Restaurants",,"Outdoor Seating","Private Dining","Seating","Parking Available","Television","Highchairs Available","Serves Alcohol","Full Bar",,,,,,,,,,,,"Africa/Nairobi","1439","0","1440","600","1440","600","1440","600","1440","600","1439","0","1439","0","25392504","https://media-cdn.tripadvisor.com/media/photo-w/28/ef/01/b6/billionaires-swara-park.jpg","false","false","-1.516707",,"","Kitengela, Rift Valley Province","36.849995","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,"BILLIONAIRES SWARA PARK","1","Open Now",,"+254 714 894528","5",,,"10","2","#2 of 13 places to eat in Kitengela","5","0","0","0","0","1","3.0432212352752686",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25392504-Reviews-BILLIONAIRES_SWARA_PARK-Kitengela_Rift_Valley_Province.html",
"Yukos Sinket Arcade,ground Floor, Kitengela 20100 Kenya","Kitengela","Kenya","20100",,"Yukos","Sinket Arcade,ground Floor",,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21013051",,"false","false","-1.507609",,"","Kitengela, Rift Valley Province","36.953518",,,,,,,,"Su Cakes And Dusty Grill Bistro","0",,,"+254 736 966605","0",,,"10","6","#6 of 13 places to eat in Kitengela",,"0","0","0","0","0","3.0371222496032715",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d21013051-Reviews-Su_Cakes_And_Dusty_Grill_Bistro-Kitengela_Rift_Valley_Province.html",
"Jomo Kenyatta International Airport, Nairobi Kenya","Nairobi","Kenya",,,"Jomo Kenyatta International Airport",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Mediterranean","European","African","Cafe",,"Paul Caffe was established back in 2014 and comes with a wealth of experience in the food industry. Fresh and delicious forms a big part of our DNA, from our finger-licking delicacies to our diverse cuisines. We have a wide array of services for our customers, from in-dining to outdoor catering services.","Breakfast","Lunch","Dinner","Late Night","Drinks",,,,,,,,"info@paulcaffekenya.com","Restaurants",,"Table Service","Seating",,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","14961228","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/22/71/b0/inside.jpg","false","false","-1.331592",,"","Nairobi","36.925552","Breakfast","Lunch","Dinner","Late Night","Drinks",,"https://paulcaffe.com/menu/","Paul Caffe","39","Open Now",,,"40","$$ - $$$",,"832","156","#156 of 1,048 places to eat in Nairobi","4","3","3","3","9","21","3.2974624633789062",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d14961228-Reviews-Paul_Caffe-Nairobi.html","https://www.facebook.com/PAUL-CAFFE-JKIA-1595037830739221/"
"Mombasa Road, Pili Centre Opposite Hilton Garden I, Nairobi 00200 Kenya","Nairobi","Kenya","00200",,"Mombasa Road, Pili Centre Opposite Hilton Garden I",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","African",,,,,"The Tunnel is the place to be while in Nairobi! The amazing atmosphere is a mix of awesome staff, delicious food, funky art, drinks that keep flowing and great music.","Breakfast","Lunch","Dinner",,,,,,,,,,,"Bars & Pubs","Restaurants",,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","24192080","https://media-cdn.tripadvisor.com/media/photo-o/28/0c/1a/a5/the-tunnel-is-the-ultimate.jpg","false","false","-1.357408",,"","Nairobi","36.89621","Breakfast","Lunch","Dinner",,,,,"The Tunnel Night Club","1","Open Now",,"+254 722 980002","1",,,"832","667","#667 of 1,048 places to eat in Nairobi","4","0","0","0","1","0","3.02315092086792",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d24192080-Reviews-The_Tunnel_Night_Club-Nairobi.html",
"Jkia, Nairobi Kenya","Nairobi","Kenya",,,"Jkia",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","British",,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19478127","https://media-cdn.tripadvisor.com/media/photo-w/26/c7/58/7f/fridays-are-incomplete.jpg","false","false","-1.33023",,"","Nairobi","36.92406",,,,,,,,"Paul caffe jkia","4",,,"+254 722 519222","1",,,"832","498","#498 of 1,048 places to eat in Nairobi","4","1","0","0","0","3","3.0572729110717773",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d19478127-Reviews-Paul_caffe_jkia-Nairobi.html","http://www.paulcaffe.com"
"Off Namanga Road, Kitengela Kenya","Kitengela","Kenya",,,"Off Namanga Road",,,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,,"Breakfast","Lunch","Dinner","Late Night","Drinks",,,,,,,,,"Restaurants",,"Outdoor Seating","Serves Alcohol",,,,,,,,,,,,,,,,,,"Africa/Nairobi","1440","420","1440","420","1440","420","1440","420","1440","420","1440","420","1440","420","25578526",,"false","false","-1.492795",,"","Kitengela, Rift Valley Province","36.955177","Breakfast","Lunch","Dinner","Late Night","Drinks",,,"Enkare Bar and Restaurant","1","Open Now",,,"0",,,"10","9","#9 of 13 places to eat in Kitengela","4","0","0","0","1","0","3.023930311203003",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25578526-Reviews-Enkare_Bar_and_Restaurant-Kitengela_Rift_Valley_Province.html",
"Utalii Road Behind Tosha Petrol Station, opposite Shell Station, Kitengela 00100 Kenya","Kitengela","Kenya","00100",,"Utalii Road","Behind Tosha Petrol Station, opposite Shell Station",,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","African","International","Barbecue","Grill","Contemporary","Local Grill joint for the best Nyama Choma, barbecue menus in the outskirt of Nairobi. We offer fresh and sumptuous meals ranging from Beef, Pork, Goat and Chicken. Our Plant-based meals and sides are prepared with organically grown ingredients from our controlled farm in Kajiado County.","Breakfast","Lunch","Dinner","Brunch","Drinks",,,,,,,,"meatforgrill@gmail.com","Restaurants",,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Street Parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Accepts Credit Cards","Table Service","Dog Friendly","Family style","Non-smoking restaurants",,"Africa/Nairobi","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","21238374","https://media-cdn.tripadvisor.com/media/photo-o/1b/ff/13/56/the-portions-are-worth.jpg","false","false","-1.49164",,"","Kitengela, Rift Valley Province","36.955128","Breakfast","Lunch","Dinner","Brunch","Drinks",,,"Meat & Grill Kitengela","9","Open Now",,"+254 700 201111","20","$$ - $$$","KES 1,334 - KES 7,412","10","1","#1 of 13 places to eat in Kitengela","5","0","0","0","1","8","3.2158896923065186","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d21238374-Reviews-Meat_Grill_Kitengela-Kitengela_Rift_Valley_Province.html","http://www.instagram.com/meatandgrill_/"
"Mutungoni Road, Athi River Kenya","Athi River","Kenya",,,"Mutungoni Road",,,"1943153","Athi River","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","restaurant",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23822412",,"false","false",,,"","Athi River, Eastern Province",,,,,,,,,"The Last Village Restaurant","1",,,,"0",,,,,,"1","1","0","0","0","0",,,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1943153-d23822412-Reviews-The_Last_Village_Restaurant-Athi_River_Eastern_Province.html","https://thelastvillage.co.ke/dining-bars/main-restaurant/"
