"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Mama Ngina Rd, Old Town, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Mama Ngina Rd, Old Town","",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Pizza","Seafood","Mediterranean","European","Vegetarian Friendly",,,,,,"Not far from the famous Vasco Da Gama Pillar, Malindi in half a kilometer offers to the visitor the best landscape of the swahili Indian Ocean coast: dhows and fishermen’s boats in the bay, coral rocks and caves, the silver sand beach. Around there you can find one of the few historical restaurants in Malindi. Baby Marrow, popular for tourists and residents since nineties, was recently renovated in the name of art and image. In a unique, sophisticated ambience, elegant but casual, you can enjoy an extensive menu, varied and created for every palate and culinary needs or healthy. Open every day from 11.30 to 19.30 p.m. , the evening can begin with an aperitif at the Baby Bar, and then enter the restaurant where, over many fish specialties, meat and vegetarian including pasta dishes, appetizers and grilled, you cannot miss the good Neapolitan pizza. Italian and international cuisine, mixed with local food specialties.","Dinner","Drinks",,,,,"Pasta","Crab","Lobster","Tuna","Prawns","Pesto","Fish",,,,"Restaurants",,"Reservations","Outdoor Seating","Seating","Wheelchair Accessible","Serves Alcohol","Full Bar","Parking Available","Street Parking","Free off-street parking","Highchairs Available","Wine and Beer","Digital Payments","Accepts Credit Cards","Live Music","Jazz Bar","Dog Friendly","Family style","Non-smoking restaurants",,,,,"Africa/Nairobi","1320","690","1320","690","1320","690","1320","690","1320","690","1320","690","1320","690","1214061","https://media-cdn.tripadvisor.com/media/photo-o/1a/1f/a9/f0/our-amazing-and-quite.jpg","false","false","-3.223726",,"","Malindi, Coast Province","40.126328","Dinner","Drinks",,,,,,"Baby Marrow - Italian Restaurant","288","Closes in 21 min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 700 766704","97","$$ - $$$","KES 148,236 - KES 741,180","40","4","#4 of 59 places to eat in Malindi","4","19","14","33","94","128","3.622770071029663","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d1214061-Reviews-Baby_Marrow_Italian_Restaurant-Malindi_Coast_Province.html","http://www.babymarrowrestaurant.com/"
"Watamu Road - Timboni, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Road - Timboni",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African","Vegetarian Friendly",,,,,,,,,,,"Breakfast","Lunch","Dinner","Late Night",,,,,,,,,,,,"ompassa@yahoo.it","Restaurants",,"Reservations","Takeout","Seating",,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1140","480",,,"1140","480","1140","480","1140","480","1140","480","1140","480","3506821","https://media-cdn.tripadvisor.com/media/photo-o/04/4c/fa/11/swahili-cafe.jpg","false","false","-3.347499",,"","Watamu, Coast Province","40.01322","Breakfast","Lunch","Dinner","Late Night",,,,"SWAHILI cafe","141","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 724 812422","79","$","KES 2,816","51","13","#13 of 60 places to eat in Watamu","4.5","3","4","15","48","71","3.6293482780456543","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d3506821-Reviews-SWAHILI_cafe-Watamu_Coast_Province.html",
"1 Mida Creek Road Ocean Sports Resort, Watamu 80202 Kenya","Watamu","Kenya","80202",,"1 Mida Creek Road","Ocean Sports Resort",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Bar","European","Seafood","Vegetarian Friendly",,,,,,,,,"Lunch","Dinner","Breakfast",,,,"Fish & Chips","Calamari","Tuna","Fish",,,,,,,"Restaurants",,"Reservations","Outdoor Seating","Seating","Television","Serves Alcohol","Full Bar","Free Wifi","Highchairs Available","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7316193","https://media-cdn.tripadvisor.com/media/photo-o/08/fe/f6/a5/the-ocean-sports-restaurant.jpg","false","false","-3.361161",,"","Watamu, Coast Province","40.0081","Lunch","Dinner","Breakfast",,,,"http://www.oceansports.net/service/ocean-sports-resort-restaurant/#mobilemenu","The Ocean Sports Restaurant","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 724 389732","42","$$ - $$$",,"51","12","#12 of 60 places to eat in Watamu","4","0","12","12","49","57","3.680927038192749",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d7316193-Reviews-The_Ocean_Sports_Restaurant-Watamu_Coast_Province.html","http://www.oceansports.net/service/ocean-sports-resort-restaurant/"
"Sea Front Road, Silversand Rd Near District Public Hospital, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Sea Front Road, Silversand Rd","Near District Public Hospital",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Seafood","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"Italian Restaurant & Pizzeria, Bar, Ice Cream & Pastry Shop, Beach service. Take Away & Delivery service ☆ Ristorante Italiano con Pizzeria, Bar, Gelateria, Pasticceria e Servizio Spiaggia. Servizio d'asporto e consegna a domicilio","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Ice Cream","Pasta","Salad","Risotto","Gelato","Prawns","Pesto","Fish",,"falierafantozzi@yahoo.it","Restaurants",,"Delivery","Takeout","Reservations","Outdoor Seating","Buffet","Seating","Parking Available","Highchairs Available","Serves Alcohol","Full Bar","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Table Service","Live Music",,,,,,"Africa/Nairobi","1260","420","1260","420","1260","420","1260","420","1260","420","1260","420","1260","420","8631962","https://media-cdn.tripadvisor.com/media/photo-o/0d/72/fb/b2/osteria-malindi-on-sea.jpg","false","false","-3.219487",,"","Malindi, Coast Province","40.12598","Breakfast","Lunch","Dinner","Brunch","Drinks",,"http://www.osteriamalindi.com/menu/index?utm_source=Tripadvisor&utm_medium=Link-Menu&utm_campaign=Social-Media","Osteria","275","Closes in 4 min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 725 525665","106","$$ - $$$",,"40","3","#3 of 59 places to eat in Malindi","4","16","11","31","106","111","3.719959020614624",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d8631962-Reviews-Osteria-Malindi_Coast_Province.html","http://facebook.com/osteriamalindi"
"Beach Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Beach Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Pizza","Seafood","Mediterranean","European","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,"The restaurant is located on the Watamu Beach Road, the main street of Watamu, looks like a typical African restaurant, with dishes, Italian and African, fresh cooked at the time (using pre-cooked pasta), we also have a bell 'assortment of pizzas to suit all tastes (leveled by hand and baked in wood as tradition).","Drinks","Lunch","Dinner","Brunch",,,,,,,,,,,,,"Restaurants",,"Takeout","Reservations","Outdoor Seating","Seating","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Digital Payments","Cash Only","Delivery","Television","Free Wifi",,,,,,,,,,,"Africa/Nairobi","1350","660","1350","660",,,"1350","660","1350","660","1350","660","1350","660","3742528","https://media-cdn.tripadvisor.com/media/photo-s/03/8c/49/c9/makuti-ristorante-pizzeria.jpg","false","false","-3.356278",,"","Watamu, Coast Province","40.01697","Drinks","Lunch","Dinner","Brunch",,,,"Makuti Ristorante Pizzeria","201","Closed today",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 720658371","96","$","KES 148 - KES 2,965","51","9","#9 of 60 places to eat in Watamu","4.5","6","5","23","64","103","3.8442442417144775","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d3742528-Reviews-Makuti_Ristorante_Pizzeria-Watamu_Coast_Province.html","https://www.facebook.com/profile.php?id=100057396350173"
"Watamu Beach Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Beach Road","",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood",,,,,,,,,,,,"Breakfast","Dinner","Late Night",,,,"Lobster",,,,,,,,,,"Restaurants",,"Seating","Reservations","Outdoor Seating","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2316040","https://media-cdn.tripadvisor.com/media/photo-s/02/56/49/38/aragostine.jpg","false","false","-3.353808",,"","Watamu, Coast Province","40.01965","Breakfast","Dinner","Late Night",,,,,"Lo Spuntino","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","$",,"51","14","#14 of 60 places to eat in Watamu","4","4","10","18","69","76","3.626755475997925","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d2316040-Reviews-Lo_Spuntino-Watamu_Coast_Province.html",
"Dabaso, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Dabaso",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,,,,,,,"Situated at Mida Creek, not far from Dabaso village, the restaurant is a discreet, low impact wooden construction standing at the edge of the mangrove forest with panoramic views of the Creek. Please book 24 hrs in advance. Access to the restaurant is via a 200 meter boardwalk, which gives guests a unique opportunity to absorb the beauty and magical atmosphere of the mangrove forest and Creek channels. The restaurant looks out to stunning views of Kirepwe Island and also provides a good spot for bird watching. The restaurant offers breakfast, lunch and dinner. Those guests arriving for dinner are recommended to come early and enjoy a sundowner as the sun dips spectacularly over the Creek.","Lunch","Dinner","Drinks",,,,"Crab","Lobster","Calamari","Clams","Prawns","Fish",,,,"dabasocreek@gmail.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Parking Available","Serves Alcohol","Full Bar","Table Service",,,,,,,,,,,,,,,,"Africa/Nairobi","1320","480","1320","480","1320","480","1320","480","1320","480","1320","480","1320","480","12850330","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/8e/fa/6b/clients-enjoying-the.jpg","false","false","-3.345306",,"","Watamu, Coast Province","39.988922","Lunch","Dinner","Drinks",,,,"https://www.facebook.com/CrabShackDabaso/menu/?ref=page_internal","Crab Shack","417","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 725 315562","1397","$$ - $$$","KES 445 - KES 4,447","51","5","#5 of 60 places to eat in Watamu","4.5","18","12","24","116","247","4.253465175628662","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d12850330-Reviews-Crab_Shack-Watamu_Coast_Province.html","http://dabasocreek.wixsite.com/crabshack"
"Casuarina Road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Casuarina Road",,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Pizza","Seafood","Mediterranean","Barbecue","European","International","Vegetarian Friendly",,,,,"Lunch","Dinner","Brunch",,,,"Pasta","Pesto","Fish",,,,,,,,"Restaurants",,"Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Table Service",,,,,,,,,,,,,,,"Africa/Nairobi","1320","480","1560","480","1320","480","1320","480","1320","480","1560","480","1320","480","2707792","https://media-cdn.tripadvisor.com/media/photo-o/04/2b/61/cf/la-rosada.jpg","false","false","-3.244478",,"","Malindi, Coast Province","40.126694","Lunch","Dinner","Brunch",,,,,"Rosada Beach Restaurant","276","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 700 501813","83","$$ - $$$",,"40","1","#1 of 59 places to eat in Malindi","4","10","7","36","93","130","3.804516315460205","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d2707792-Reviews-Rosada_Beach_Restaurant-Malindi_Coast_Province.html","http://www.facebook.com/rosadabeachmalindi/"
"Beach Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Beach Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Seafood","International","Barbecue","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"Dinner","Late Night","Drinks",,,,,,,,,,,,,"comebackclubwatamu@gmail.com","Restaurants",,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Street Parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Cash Only","Table Service","Free Wifi",,,,,,,,,"Africa/Nairobi","1620","1140","1620","1140","1620","1140","1620","1140","1620","1140","1620","1140","1620","1140","3733515","https://media-cdn.tripadvisor.com/media/photo-o/0b/97/99/c9/la-cena.jpg","false","false","-3.354509",,"","Watamu, Coast Province","40.019848","Dinner","Late Night","Drinks",,,,,"Come Back Club Watamu","406","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254716605178","93","$$ - $$$","KES 1,186 - KES 4,447","51","6","#6 of 60 places to eat in Watamu","4","12","11","38","161","184","4.180985927581787","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d3733515-Reviews-Come_Back_Club_Watamu-Watamu_Coast_Province.html","http://www.comebackclubwatamu.com"
"Plot No. 2 Turtle Bay Road Medina Palms,Amandina restaurants, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Plot No. 2 Turtle Bay Road","Medina Palms,Amandina restaurants",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood","African","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options",,,,,"The signature restaurant at Medina Palms, Amandina offers an amazing dining experience on the Kenya coast. Set high above the tree tops cooled by the ocean breeze, the open sided restaurant offers elegant dining in sublime surroundings. Menus are exciting and varied, with dishes created using the finest homegrown organic vegetables, fruits and seafood straight from the Indian Ocean.","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Pasta","Salad","Tuna","Prawns","Gazpacho","Pesto","Fish",,,"max@medinapalms.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Parking Available","Serves Alcohol","Free Wifi","Delivery","Buffet","Private Dining","Free off-street parking","Television","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Accepts Credit Cards","Table Service","Live Music","Beach","Family style","Sports bars",,"Africa/Nairobi","1320","720","1320","720","1320","720","1320","720","1320","720","1320","720","1320","720","6908327","https://media-cdn.tripadvisor.com/media/photo-m/1280/26/a4/45/ee/beef-fillet.jpg","false","false","-3.361625",,"","Watamu, Coast Province","40.003674","Breakfast","Lunch","Dinner","Brunch","Drinks",,,"Amandina","90","Closes in 21 min",,"Top 3 Reasons to Eat Here","Sponsored by: Amandina","Amazing Hotel and Restaurant","https://media-cdn.tripadvisor.com/media/photo-s/26/9c/ae/e5/medina-palms-infinity.jpg","true","Amazing Hotel and Restaurant","Read review","1","5","830233059","martanikolaevna","The food is super delicious and so are the cocktails","Great Options for Vegeterians","https://media-cdn.tripadvisor.com/media/photo-s/26/a4/47/db/desserts.jpg","true","Great Options for Vegeterians","Read review","2","5","861493164","kampurtraveldiaries","Impressed with the vegeterian selection","Excellent Worth a Visit","https://media-cdn.tripadvisor.com/media/photo-s/26/9c/b3/86/medina-palms-jacuzzi.jpg","true","Excellent Worth a Visit","Read review","3","5","673704172","Jim C","the food is exceptional and is complimented by the full bar service","+254 718 152999","77","$$ - $$$",,"51","10","#10 of 60 places to eat in Watamu","4.5","1","3","4","18","64","3.7753889560699463","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d6908327-Reviews-Amandina-Watamu_Coast_Province.html","http://www.medinapalms.com/dining/amandina-at-medina-palms/"
"Jacaranda Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Jacaranda Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African","Seafood","Barbecue","Vegetarian Friendly","Gluten Free Options",,,,,,,,"Lunch","Dinner","Brunch","Late Night","Drinks",,"Oyster","Fish",,,,,,,,,"Restaurants",,"Reservations","Outdoor Seating","Seating","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5482415","https://media-cdn.tripadvisor.com/media/photo-o/05/3d/f3/ea/grigliata-mista.jpg","false","false","-3.315372",,"","Watamu, Coast Province","40.085537","Lunch","Dinner","Brunch","Late Night","Drinks",,,"Safina Beach Bar & Grill","433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 719 214521","595","$$ - $$$",,"51","3","#3 of 60 places to eat in Watamu","4.5","10","8","15","81","319","4.471646785736084","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d5482415-Reviews-Safina_Beach_Bar_Grill-Watamu_Coast_Province.html","https://www.facebook.com/pages/Safina-Beach-Bar/573748656068319"
"New Jacaranda Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"New Jacaranda Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Bar","Seafood","Barbecue","Pub","Italian","African","Mediterranean",,,,,"La struttura sorge sulla spiaggia di Jacaranda a watamu ed è stata recentemente ricostruita in toto .
Gode di una vista mozzafiato dalla sua terrazza , dove starete  in totale tranquillità , attorno al bar le altalene vi aspettano con gli ottimi cocktail 🍹 di Masha , il proprietario , che dopo una formazione in Italia vi saprà stupire.
 La cucina non è da meno degustarete piatti dal sapore keniota ed un mix di liguria patria di Cinzia , lo Chef che ha lasciato la sua impronta 👣 formando i ragazzi.
Venite a trovarci e lasciate anche voi un’ impronta sul nostro cammino .","Breakfast","Lunch","Dinner","Brunch","Drinks",,,,,,,,,,,"mashamaitha@gmail.com","Restaurants",,"Reservations","Table Service","Takeout","Outdoor Seating","Seating","Parking Available","Free off-street parking","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Waterfront","Beach","Dog Friendly","Family style",,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","16870117","https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/43/d2/47/la-nuova-struttura-e.jpg","false","false","-3.315902",,"","Watamu, Coast Province","40.08493","Breakfast","Lunch","Dinner","Brunch","Drinks",,,"African Footprint","27","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 727 786631","90","$",,"51","21","#21 of 60 places to eat in Watamu","4.5","1","0","0","4","22","3.4505488872528076",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d16870117-Reviews-African_Footprint-Watamu_Coast_Province.html","https://www.facebook.com/improntaafricana/"
"Kanani Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Kanani Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood","Mediterranean","Sushi","Asian","Italian","Fusion","Vegan Options",,,,,"We want to create a simple location and creative at the same time, that can offer our guests a unique, complete and diversified experience, suitable for every moment of the day. We want to propose a cuisine full of innovative ideas, which starts from tradition but is enriched by a rich fusion of intercultural experiences, which give life to light, modern, fresh, creative and eclectic dishes.","Dinner","Lunch","Drinks",,,,,,,,,,,,,"info@tamurestaurant.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Serves Alcohol","Full Bar","Accepts Credit Cards","Free off-street parking",,,,,,,,,,,,,,,,"Africa/Nairobi","1380","570","1380","570","1380","570","1380","570","1380","570","1380","570","1380","570","14990381","https://media-cdn.tripadvisor.com/media/photo-m/1280/14/2f/24/c2/cover.jpg","false","false","-3.325941",,"","Watamu, Coast Province","40.063877","Dinner","Lunch","Drinks",,,,"http://www.tamurestaurant.com/menu/","Tamu Beach & Fusion Restaurant","80","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 703 707038","71","$$ - $$$","KES 3,706 - KES 8,894","51","11","#11 of 60 places to eat in Watamu","4.5","4","2","3","10","61","3.7036314010620117","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d14990381-Reviews-Tamu_Beach_Fusion_Restaurant-Watamu_Coast_Province.html","http://www.tamurestaurant.com/"
"Beach Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Beach Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Indian","Seafood","Vegetarian Friendly",,,,,,,,,,"Lunch","Dinner","Late Night",,,,"Crab","Fish & Chips","Calamari","Chili","Curry","Tuna","Prawns","Sashimi","Fish","pilipansony@gmail.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Table Service",,,,,,,,,,,,,,,"Africa/Nairobi","1230","660",,,"1230","660","1230","660","1230","660","1230","660","1230","660","5049996","https://media-cdn.tripadvisor.com/media/photo-o/06/69/c1/65/pilipan-restaurant-watamu.jpg","false","false","-3.370044",,"","Watamu, Coast Province","39.99472","Lunch","Dinner","Late Night",,,,,"Pilipan Restaurant - Watamu","216","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 736 724099","73","$$ - $$$",,"51","16","#16 of 60 places to eat in Watamu","4","21","10","16","61","108","3.499329090118408","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d5049996-Reviews-Pilipan_Restaurant_Watamu-Watamu_Coast_Province.html","http://watamuluxury.com/item/pilipan"
"Watamu Beach Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Beach Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood","Italian","Pizza","Mediterranean",,,,,,,,"Italian Restaurant and Pizzeria in the earth of Watamu, inside the Ascot Residence. Our Chef Peppe, in the restaurant world from 40 years, is waiting to delight you whit him fish specialties and gourmet cooking.","Breakfast","Lunch","Dinner","Drinks",,,,,,,,,,,,"giuseppecastellani1963@gmail.com","Restaurants",,"Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Serves Alcohol","Wine and Beer","Digital Payments","Free Wifi",,,,,,,,,,,,,,"Africa/Nairobi","1380","540","1380","540","1380","540","1380","540","1380","540","1380","540","1380","540","18454859","https://media-cdn.tripadvisor.com/media/photo-o/18/fb/16/be/ascot-restuarant-taste.jpg","false","false","-3.355551",,"","Watamu, Coast Province","40.021942","Breakfast","Lunch","Dinner","Drinks",,,,"Ascot Restaurant","19","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 702 003111","30","$$ - $$$","KES 741 - KES 5,188","51","26","#26 of 60 places to eat in Watamu","4.5","0","1","0","2","16","3.298133373260498","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d18454859-Reviews-Ascot_Restaurant-Watamu_Coast_Province.html","http://www.facebook.com/ascotrestaurant"
"Jacaranda Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Jacaranda Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Bar","Pizza","Seafood","Mediterranean","European","International","Pub","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"Lunch","Dinner","Brunch","Late Night",,,"Ice Cream","Pasta","Lobster","Salad","Prawns","Seafood Platters","Pesto","Fish",,"beach@paparemobeach.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Parking Available","Validated Parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service","Highchairs Available",,,,,,,,,,,"Africa/Nairobi","1140","540","1140","540","1140","540","1140","540","1140","540","1140","540","1140","540","3350550","https://media-cdn.tripadvisor.com/media/photo-o/0e/40/6a/58/img-20170125-wa0003-largejpg.jpg","false","false","-3.346833",,"","Watamu, Coast Province","40.032497","Lunch","Dinner","Brunch","Late Night",,,,"Papa Remo Beach","670","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 41 2009174","457","$$ - $$$",,"51","4","#4 of 60 places to eat in Watamu","4.5","25","26","40","185","394","4.321554660797119","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d3350550-Reviews-Papa_Remo_Beach-Watamu_Coast_Province.html","http://paparemobeach.com"
