"hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","isClosed","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","establishmentTypes/0","establishmentTypes/1","numberOfReviews","email","website","longitude","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","locationString","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","image","type","rankingDenominator","localAddress","phone","priceLevel","isLongClosed","rating","subcategories/0","ownersTopReasons","rankingPosition","localName","openNowText","rankingString","id","priceRange","photoCount","address","name","menuWebUrl","webUrl","description","rawRanking","latitude"
,"Africa/Nairobi","1320","600","1320","720","1320","720","1320","720","1320","720","1320","720","1320","720",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch","Drinks",,"3","0","0","1","13","false","Reservations","Delivery","Takeout","Outdoor Seating","Seating","Parking Available","Free off-street parking","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Accepts Credit Cards","Live Music",,,,,,,,,,,,,"restaurant","Healthy","Italian","African","Seafood","Fusion","Apulian",,,"Malindi","Kenya","80200",,"Ngowe Rd",,"Restaurants",,"17","info@lamalindinakenya.com","http://www.lamalindinakenya.com","40.113216","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/27/7e/b3/73/caption.jpg","RESTAURANT","40",,"+254 710 303402","$$ - $$$","false","4","Sit down",,"17","","Closed Now","#17 of 59 places to eat in Malindi","17912811","KES 1,482 - KES 4,447","35","Ngowe Rd, Malindi 80200 Kenya","La Malindina Hotel & Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d17912811-Reviews-La_Malindina_Hotel_Restaurant-Malindi_Coast_Province.html",,"3.1616175174713135","-3.201244"
,"Africa/Nairobi","1080","480","1080","480","1080","480","1080","480","1080","480","1080","480","1080","480",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Lunch","Drinks",,,,,"0","0","2","2","8","false","Reservations","Outdoor Seating","Seating","Parking Available","Free off-street parking","Serves Alcohol","Wine and Beer","Table Service","Beach",,,,,,,,,,,,,,,,,"restaurant","Grill","African","Bar","Cafe","Seafood",,,,"Malindi","Kenya","80200",,"Mayungu Road","Mayungu","Restaurants",,"12","mayungubeach@gmail.com","http://www.flamingovillasresort.com/mayungu-beach/","40.11561","Lunch","Drinks",,,,,"Malindi, Coast Province","Juice & Smoothies",,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/12/6a/e9/72/mayungu-beach-restaurant.jpg","RESTAURANT","40",,"+254 738 124538","$$ - $$$","false","4.5","Sit down",,"19","","Closed Now","#19 of 59 places to eat in Malindi","2458905","KES 1,482 - KES 4,447","130","Mayungu Road Mayungu, Malindi 80200 Kenya","Mayungu Beach Bar & Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d2458905-Reviews-Mayungu_Beach_Bar_Restaurant-Malindi_Coast_Province.html","Just few minutes from Malindi, is located the exclusive and private Mayungu Beach. This bay located in the heart of marine park between Malindi and Watamu, will be your oasis of white sand and blue sea. An oasis of peace next to the fisherman's beach, where every day you can see coast life style. Umbrellas and sun beds, toilets and fresh water shower available. The restaurant in African style and casual atmosphere, offers grilled fish & lobster, chicken & chips, tropical fruit. Reggae music & friendly staff waiting for you! MAYUNGU BEACH RESTAURANT Open every day WELCOME ALL - Casuarina Road - Mayungu Road","3.141498565673828","3.294567"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Dinner","Lunch",,,,,"4","3","4","20","13","false","Takeout","Reservations","Seating","Buffet","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","International","Mediterranean","European",,,,"Malindi","Kenya","80200",,"Via Pergolesi 31\B Pozzuoli",,"Restaurants",,"44","putipurestaurant@gmail.com",,"40.11197","Dinner","Lunch",,,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/06/59/fd/2c/putipu.jpg","RESTAURANT","40",,"+39 081 1936 9628","$$ - $$$","false","4","Sit down",,"16","",,"#16 of 59 places to eat in Malindi","3636448",,"16","Via Pergolesi 31\B Pozzuoli, Malindi 80200 Kenya","Putipu",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d3636448-Reviews-Putipu-Malindi_Coast_Province.html",,"3.1948959827423096","-3.20607"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","4","8","1","false","Wheelchair Accessible","Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,"restaurant","African","Barbecue",,,,,,,"Malindi","Kenya","80200",,"Malindi Highway","Next To Zanziba Cafe","Restaurants",,"13",,,"39.69225",,,,,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/21/3f/d2/cb/shukrani-cafe.jpg","RESTAURANT","40",,,"$","false","4",,,"23","",,"#23 of 59 places to eat in Malindi","10769112",,"9","Malindi Highway Next To Zanziba Cafe, Malindi 80200 Kenya","Shukrani Cafe",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d10769112-Reviews-Shukrani_Cafe-Malindi_Coast_Province.html",,"3.10762882232666","-4.02947"
,"Africa/Nairobi","1320","480","1320","480","1320","480","1320","480","1320","480","1320","480","1320","480",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"3","0","0","0","6","false",,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Cafe","Seafood","International",,,,"Malindi","Kenya","80200",,"Marine Park Road","Billionaire Resort","Restaurants",,"9","malindi.resort@billionairesociety.com","http://www.billionaireresort.com/beach-grill","40.13179","Breakfast","Lunch","Dinner",,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/22/7b/0c/7b/billionaire-grill-and.jpg","RESTAURANT","40",,"+254 20 2180370",,"false","3.5",,,"27","","Closed Now","#27 of 59 places to eat in Malindi","17406458",,"23","Marine Park Road Billionaire Resort, Malindi 80200 Kenya","Billionaire Grill & Bar","https://www.billionaireresort.com/beach-grill","https://www.tripadvisor.com/Restaurant_Review-g298253-d17406458-Reviews-Billionaire_Grill_Bar-Malindi_Coast_Province.html","The Billionaire Grill & Bar is the vibrant soul of the Billionaire Resort & Retreat. Proudly owning its space on the beach of the Resort the Billionaire Grill & Bar offers the best Italian and fusion cuisine and vibrant ambiance that has made the Billionaire group an undisputed leader in curated gastronomic experiences. An explosion of flavor and color that is as tantalizing as it is unpretentious creates the mood where resort guests are joined by locals who search for an experience of the highest level. The evenings take extravaganza to a different level when a sensual ambiance and a carefully selected musical repertoire and events take the nights into an unforgettable experience.","3.0533998012542725","-3.256177"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,"14","12","11","35","37","false","Seating","Parking Available","Serves Alcohol","Table Service","Takeout",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Pub",,,,,"Malindi","Kenya","80200",,"Sabaki Center Lamu Road","","Restaurants",,"109",,,"40.116657",,,,,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/03/56/8a/c0/bar-bar.jpg","RESTAURANT","40",,,"$$ - $$$","false","3.5",,,"15","",,"#15 of 59 places to eat in Malindi","941199",,"17","Sabaki Center Lamu Road, Malindi 80200 Kenya","Bar Bar",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d941199-Reviews-Bar_Bar-Malindi_Coast_Province.html",,"3.200479745864868","-3.206626"
,"Africa/Nairobi","1320","420","1320","420","1320","420","1320","420","1320","420","1320","420","1320","420",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Dinner","Breakfast","Lunch",,,,"0","0","2","7","9","false","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,,"restaurant","African","Arabic",,,,,,,"Malindi","Kenya","80200",,"Jamhuri St",,"Restaurants",,"18","nurusaid4563@gmail.com","https://www.facebook.com/profile.php?id=100063821660835",,"Dinner","Breakfast","Lunch",,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/10/3c/ac/86/img-20170807-wa0021-largejpg.jpg","RESTAURANT","40",,"0703454123","$","false","4.5",,,"12","","Closed Now","#12 of 59 places to eat in Malindi","12778478",,"8","Jamhuri St, Malindi 80200 Kenya","Simba Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d12778478-Reviews-Simba_Restaurant-Malindi_Coast_Province.html","Our Business specializes in providing customers with a selection of coastal foods and outside catering services.We understand food is an experience,and that is why we strive to create unique and memorable dining experience for our customers.","3.246631383895874",
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Dinner","Lunch","Brunch",,,,"1","2","2","17","16","false","Reservations","Seating","Wheelchair Accessible","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Seafood","European","Vegetarian Friendly",,,,"Malindi","Kenya","80200",,"Casuarina",,"Restaurants",,"38",,"https://www.facebook.com/olimpiaclubmalindi/","40.12911","Dinner","Lunch","Brunch",,,,"Malindi, Coast Province","Oyster",,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0e/30/fc/11/img-20170118-wa0005-largejpg.jpg","RESTAURANT","40",,,"$$ - $$$","false","4",,,"11","",,"#11 of 59 places to eat in Malindi","11952640",,"12","Casuarina, Malindi 80200 Kenya","Olimpia Club",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d11952640-Reviews-Olimpia_Club-Malindi_Coast_Province.html",,"3.2827208042144775","-3.2527"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Lunch","Dinner","Drinks",,,,"1","0","0","8","24","false","Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","African","Seafood","Grill","Fusion","Vegetarian Friendly",,,"Malindi","Kenya","254",,"Lamu Road","Golden Beach North of Malindi, Che Shale Bay","Restaurants",,"33","barefootbeachcampltd@gmail.com","https://www.facebook.com/barefootbeachcampkenya/","40.120934","Lunch","Dinner","Drinks",,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/a6/5f/dc/seafood-special.jpg","RESTAURANT","40",,"+254 722 421351","$$ - $$$","false","4.5","Sit down",,"9","",,"#9 of 59 places to eat in Malindi","3201349",,"32","Lamu Road Golden Beach North of Malindi, Che Shale Bay, Malindi 254 Kenya","Barefoot Beach Camp",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d3201349-Reviews-Barefoot_Beach_Camp-Malindi_Coast_Province.html","Suddenly you are on the coast of Africa - just a short distanceaway from Malindi town off the Lamu road, a 20 minute drive and now on the golden beach where the sea is breath taking, the sandy beach shimmers gold and the ocean shoes are surrounded with sand dunes, palm trees and bushes. Here lies Barefoot Beach Camp.Lunch or Dinner Bookings- We concentrate on exclusivity and we encourage prior bookings on night or daytime excursions for those looking for a day out to experience superb cuisine cooked by Eddie himself, and to build our reputation by opening up new dimensions to the word “Kenyan hospitality.” We offer you a hosted service.Barefoot’s superb service is complemented by the growing reputation for world-class, international cuisine from our renowned kitchen, where daily fresh baked bread and focaccia is just the beginning. Guests are welcome to request, a day in advance, for local or international food, vegetarian or anything else that might take your fancy – we will endeavour to match your desires or provide exciting alternatives.The menu is not ordinary! It is exciting and constantly evolving- the primary offering is fusion/contemporary cuisine with a dash of North African flavours using the finest organic produce from the Kenyan coast.","3.289062023162842","-3.215463"
,"Africa/Nairobi","1380","420","1380","420","1380","420","1380","420","1380","420","1380","420","1380","420",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Late Night",,,"9","5","24","47","25","false","Outdoor Seating","Seating","Serves Alcohol","Reservations","Table Service",,,,,,,,,,,,,,,,,,,,,"restaurant","African",,,,,,,,"Malindi","Kenya","80200",,"Mama Ngina Rd, Old Town","","Restaurants",,"110",,"http://www.facebook.com/The-Comet-Inn-Madley-332776763426021","40.12649","Breakfast","Lunch","Dinner","Late Night",,,"Malindi, Coast Province","Fish",,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-s/03/28/02/78/baobab-restaurant.jpg","RESTAURANT","40",,"31699 ","$$ - $$$","false","3.5","Sit down",,"14","","Closed Now","#14 of 59 places to eat in Malindi","1214045",,"22","Mama Ngina Rd, Old Town, Malindi 80200 Kenya","Baobab Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d1214045-Reviews-Baobab_Restaurant-Malindi_Coast_Province.html",,"3.2041094303131104","-3.221818"
