"ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","menuWebUrl","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","website","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","localName","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","establishmentTypes/0","establishmentTypes/1","subcategories/0","description","locationString","dishes/0","localAddress","category","rankingDenominator","rankingPosition","name","priceRange","ownersTopReasons","address","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","webUrl","latitude","longitude","rankingString","photoCount","image","openNowText","rawRanking","priceLevel","type","phone","numberOfReviews","isClosed","isLongClosed","id","email","rating"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African",,,,,,,"Africa/Nairobi","1320","510","1320","510","1320","510","1320","510","1320","510","1320","510","1320","510",,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Kitengela","Kenya",,,"Nairobi - Namanga, Athi River","Tarikiville Mall, Unit 11","","Breakfast","Lunch","Dinner","Brunch","Late Night",,"Delivery","Takeout","Private Dining","Seating","Parking Available","Digital Payments","Cash Only","Free Wifi","Non-smoking restaurants",,,,,,,,,,"Restaurants",,,,"Kitengela, Rift Valley Province",,,"restaurant",,,"Jamie's Nigerian Restaurant",,,"Nairobi - Namanga, Athi River Tarikiville Mall, Unit 11, Kitengela Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25091660-Reviews-Jamie_s_Nigerian_Restaurant-Kitengela_Rift_Valley_Province.html","-1.475256","36.95884",,"9","https://media-cdn.tripadvisor.com/media/photo-s/26/b5/26/c4/dine-with-us.jpg","Open Now",,,"RESTAURANT","+254 769 360979","0","false","false","25091660",,
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African",,,,,,,"Africa/Nairobi","1440","420","1440","420","1440","420","1440","420","1440","420","1440","420","1440","420",,"Breakfast","Lunch","Dinner","Late Night","Drinks",,"Kitengela","Kenya",,,"Off Namanga Road",,"","Breakfast","Lunch","Dinner","Late Night","Drinks",,"Outdoor Seating","Serves Alcohol",,,,,,,,,,,,,,,,,"Restaurants",,,,"Kitengela, Rift Valley Province",,,"restaurant","10","9","Enkare Bar and Restaurant",,,"Off Namanga Road, Kitengela Kenya","0","0","0","1","0","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25578526-Reviews-Enkare_Bar_and_Restaurant-Kitengela_Rift_Valley_Province.html","-1.492795","36.955177","#9 of 13 places to eat in Kitengela","0",,"Open Now","3.023930311203003",,"RESTAURANT",,"1","false","false","25578526",,"4"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African",,,,,,,"Africa/Nairobi","1380","600","1380","600","1380","600","1380","600","1380","600","1380","600","1380","600",,"Lunch","Dinner",,,,,"Kitengela","Kenya",,,"Kitengela","Ola Petrol Station","","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,"Bars & Pubs","Restaurants",,"Bar and Restraurant","Kitengela, Rift Valley Province",,,"restaurant","10","3","The Mancave Bar And Grill",,,"Kitengela Ola Petrol Station, Kitengela Kenya","0","0","0","0","1","https://www.tripadvisor.com/Restaurant_Review-g13004822-d24093645-Reviews-The_Mancave_Bar_And_Grill-Kitengela_Rift_Valley_Province.html","-1.523668","36.94647","#3 of 13 places to eat in Kitengela","2","https://media-cdn.tripadvisor.com/media/photo-o/23/b3/68/c5/always-a-good-time.jpg","Open Now","3.0428152084350586",,"RESTAURANT","+254 728 620639","1","false","false","24093645","eijoedennis@gmail.com","5"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African",,,,,,,"Africa/Nairobi","1439","0","1440","600","1440","600","1440","600","1440","600","1439","0","1439","0",,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Kitengela","Kenya",,,"Behind ROYAL FINNES ESTATE ",,"","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Outdoor Seating","Private Dining","Seating","Parking Available","Television","Highchairs Available","Serves Alcohol","Full Bar",,,,,,,,,,,"Restaurants",,,"We are a bar and restaurant with a spacious and ambience to desire. We welcome you any day of the week for an amazing experience.","Kitengela, Rift Valley Province",,,"restaurant","10","2","BILLIONAIRES SWARA PARK",,,"Behind ROYAL FINNES ESTATE, Kitengela Kenya","0","0","0","0","1","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25392504-Reviews-BILLIONAIRES_SWARA_PARK-Kitengela_Rift_Valley_Province.html","-1.516707","36.849995","#2 of 13 places to eat in Kitengela","5","https://media-cdn.tripadvisor.com/media/photo-w/28/ef/01/b6/billionaires-swara-park.jpg","Open Now","3.0432212352752686",,"RESTAURANT","+254 714 894528","1","false","false","25392504",,"5"
,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,"Africa/Nairobi","1440","360","1440","360","1440","360","1440","360","1440","360","1440","360","1440","360",,"Breakfast","Lunch","Dinner",,,,"Nairobi","Kenya","",,"Namanga Road","","","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Nairobi",,,"restaurant","832","639","Pampa at Savanah",,,"Namanga Road, Nairobi Kenya","0","0","0","1","2","https://www.tripadvisor.com/Restaurant_Review-g294207-d1155827-Reviews-Pampa_at_Savanah-Nairobi.html","-1.475602","36.960594","#639 of 1,048 places to eat in Nairobi","0",,"Open Now","3.0271220207214355",,"RESTAURANT",,"3","false","false","1155827",,"4.5"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Chinese","American","Indian","African",,,,"Africa/Nairobi","1140","840",,,"1140","480","1140","480","1140","480","1140","480","1140","480",,"Breakfast","Lunch","Dinner",,,,"Kitengela","Kenya",,,"Sessa Youth And Recreation Centre Kitengela",,"","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"Vyne's Delight offers you quality fresh food, straight out of the kitchen. We strive for healthy living by utilizing high quality ingredients, made with the chef's special recipe. Our aim is to offer good food that meets the taste of everyone.","Kitengela, Rift Valley Province",,,"restaurant","10","7","Vyne's Delight",,,"Sessa Youth And Recreation Centre Kitengela, Kitengela Kenya","0","0","0","0","1","https://www.tripadvisor.com/Restaurant_Review-g13004822-d23622337-Reviews-Vyne_s_Delight-Kitengela_Rift_Valley_Province.html","-1.475289","36.96201","#7 of 13 places to eat in Kitengela","2","https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/c9/35/ec/vyne-s-delight.jpg","Closed Now","3.035149335861206",,"RESTAURANT","+254 114 256459","1","false","false","23622337","eagleacademicsworldwide@gmail.com","5"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Indian","African",,,,"https://www.outboxbookings.com/index.php?string=outboxbo_otieno",,,,,,,,,,,,,,,,,"http://rosewalloasisswimmingpool.com/",,,,,,,"Kitengela","Kenya","00100",,"Balozi road","Rosewall estate","",,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Sit down","A restaurant with a serene ambience within Kitengela. We have a fully green grassed garden for events and an Olympic size swimming pool with a baby pool on the side. Our menu caters for those who hunger for the Kenyan local meals and Indian authentic meals. A variety of soft drinks are also offered.","Kitengela, Rift Valley Province",,,"restaurant","10","4","Rosewall Oasis Swimming Pool","KES 29,647 - KES 148,236",,"Balozi road Rosewall estate, Kitengela 00100 Kenya","0","0","0","1","1","https://www.tripadvisor.com/Restaurant_Review-g13004822-d18719112-Reviews-Rosewall_Oasis_Swimming_Pool-Kitengela_Rift_Valley_Province.html","-1.494569","36.96802","#4 of 13 places to eat in Kitengela","1","https://media-cdn.tripadvisor.com/media/photo-o/19/31/b9/a1/rosewall.jpg",,"3.041609048843384","$","RESTAURANT","+254 770 866603","2","false","false","18719112","inforosewall@gmail.com","4.5"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African","International","Barbecue","Grill","Contemporary",,,"Africa/Nairobi","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","http://www.instagram.com/meatandgrill_/","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Kitengela","Kenya","00100",,"Utalii Road","Behind Tosha Petrol Station, opposite Shell Station","","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Street Parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Accepts Credit Cards","Table Service","Dog Friendly","Family style","Non-smoking restaurants","Restaurants",,"Sit down","Local Grill joint for the best Nyama Choma, barbecue menus in the outskirt of Nairobi. We offer fresh and sumptuous meals ranging from Beef, Pork, Goat and Chicken. Our Plant-based meals and sides are prepared with organically grown ingredients from our controlled farm in Kajiado County.","Kitengela, Rift Valley Province",,,"restaurant","10","1","Meat & Grill Kitengela","KES 1,334 - KES 7,412",,"Utalii Road Behind Tosha Petrol Station, opposite Shell Station, Kitengela 00100 Kenya","0","0","0","1","8","https://www.tripadvisor.com/Restaurant_Review-g13004822-d21238374-Reviews-Meat_Grill_Kitengela-Kitengela_Rift_Valley_Province.html","-1.49164","36.955128","#1 of 13 places to eat in Kitengela","20","https://media-cdn.tripadvisor.com/media/photo-o/1b/ff/13/56/the-portions-are-worth.jpg","Open Now","3.2158896923065186","$$ - $$$","RESTAURANT","+254 700 201111","9","false","false","21238374","meatforgrill@gmail.com","5"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,"http://Www.fb.com/lazeezkenya",,,,,,,"Kitengela","Kenya",,,"Namanga Road",,"",,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Kitengela, Rift Valley Province",,,"restaurant","10","8","Lazeez",,,"Namanga Road, Kitengela Kenya","0","0","0","0","1","https://www.tripadvisor.com/Restaurant_Review-g13004822-d19049362-Reviews-Lazeez-Kitengela_Rift_Valley_Province.html","-1.475289","36.96201","#8 of 13 places to eat in Kitengela","0",,,"3.027514934539795",,"RESTAURANT","+254 702 323594","1","false","false","19049362",,"5"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kitengela","Kenya",,,"Namanga road,kenya","Behind Milele Center At The Containers","",,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Kitengela, Rift Valley Province",,,"restaurant","10","5","Munch munch by Sally's",,,"Namanga road,kenya Behind Milele Center At The Containers, Kitengela Kenya","0","0","0","1","1","https://www.tripadvisor.com/Restaurant_Review-g13004822-d17724893-Reviews-Munch_munch_by_Sally_s-Kitengela_Rift_Valley_Province.html",,,"#5 of 13 places to eat in Kitengela","0",,,"3.0396640300750732",,"RESTAURANT","+254 702 323594","2","false","false","17724893",,"4.5"
