"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","website","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","subcategories/0","category","rankingDenominator","rankingPosition","name","priceRange","address","webUrl","latitude","longitude","neighborhoodLocations/0/id","neighborhoodLocations/0/name","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","phone","type","email","rating","menuWebUrl","localName","description","locationString","localAddress","rankingString","image","photoCount","openNowText","rawRanking","priceLevel","numberOfReviews","isClosed","isLongClosed","id"
"Mexican","American","Caribbean","African","Asian",,,,,,,,,,,,"Africa/Nairobi","1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"http://www.cjs.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner",,,,"Breakfast","Lunch","Dinner",,,,"Nairobi","Kenya",,,"Wood Avenue & Agwings Kodhek Junction",,"Delivery","Takeout","Reservations","Outdoor Seating","Parking Available","Accepts Credit Cards","Non-smoking restaurants",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","6","CJs Kilimani",,"Wood Avenue & Agwings Kodhek Junction, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23817648-Reviews-CJs_Kilimani-Nairobi.html","-1.292244","36.78589",,,"2","0","2","12","205","+254 712 000033","RESTAURANT","cjs.kilimani@cjs.co.ke","5","https://cjs.co.ke/menu","","CJ’s, a fully fledged restaurant specializing in delivering a relaxed and memorable dining experience. We’re currently in 12 locations; 4 in Nairobi, 8 in Kampala and 1 in Entebbe. Each location features a unique ambience with tasteful decor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location.","Nairobi",,"#6 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/27/2a/b6/cd/kilimani-location-features.jpg","57","Open Now","4.826723575592041",,"221","false","false","23817648"
"Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"Africa/Nairobi","1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"http://www.cjs.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Nairobi","Kenya","00100",,"Junction of Kionange & Biashara Streets and The Village Market","CJ's Building","Takeout","Reservations","Seating","Free Wifi","Table Service","Parking Available","Digital Payments","Accepts Credit Cards","Non-smoking restaurants",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Chicken Wings","Burger","Salad","Wings","Curry","Beef","Fish",,,,,,,,,,,,,,,,"Sit down","restaurant","832","7","CJ's Koinange","KES 14,824 - KES 16,306","Junction of Kionange & Biashara Streets and The Village Market CJ's Building, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d14008730-Reviews-CJ_s_Koinange-Nairobi.html","-1.283179","36.818413","20484493","Nairobi Central Business District","7","13","17","131","1101","+254 792 000090","RESTAURANT","cjs.koinange@cjs.co.ke","5","http://www.cjs.co.ke/menu","","CJ’s, a fully-fledged restaurant specializing in delivering a relaxed and memorable dining experience. Each location features a unique ambience with tasteful decor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location.","Nairobi",,"#7 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/27/30/f6/37/welcome-to-cj-s-a-fully.jpg","469","Open Now","4.822083473205566","$$ - $$$","1268","false","false","14008730"
"Steakhouse","African","Bar","Grill","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"Africa/Nairobi","1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"http://www.ankole.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Drinks",,"Breakfast","Lunch","Dinner","Brunch","Drinks",,"Nairobi","Kenya",,,"Galana Road","Ground Floor, Senteu Plaza","Takeout","Reservations","Seating","Wheelchair Accessible","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger","Wings","Chili","Lamb","Fish","Pork",,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","64","Ankole Grill Kilimani","KES 44,471 - KES 474,355","Galana Road Ground Floor, Senteu Plaza, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12626874-Reviews-Ankole_Grill_Kilimani-Nairobi.html","-1.289281","36.783157",,,"5","9","22","40","64","+254 710 202020","RESTAURANT","admin@ankole.co.ke","4","https://ankole.co.ke/menu/","","Welcome to Ankole Grill!, Kilimani. Named after the beautiful, ancient, iconic cattle breed of East Africa, the Ankole Watusi, we aspire to bring you a unique African steak - house experience! A place where steak house meets West African cookshop. A place where Swahili coconut curry meets a bone-in ribeye steak grilled to perfection. Come in for breakfast, lunch or dinner. Sip a hand-crafted cocktail or a glass rich, subtle or delicate glass wine. Karibu!","Nairobi",,"#64 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/1c/2a/7c/e2/come-experience-fine.jpg","346","Open Now","3.675410032272339","$$ - $$$","140","false","false","12626874"
"Southwestern",,,,,,,,,,,,,,,,"Africa/Nairobi","1320","720",,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"https://www.movenpick.com/en/africa/kenya/nairobi/hotel-residences-nairobi/restaurants/the-view/?utm_source=google&utm_medium=local&utm_campaign=glocal+the-view-rest",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","49719",,"Mkungu Close, Westlands",,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamb","Pork",,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","58","The View",,"Mkungu Close, Westlands, Nairobi 49719 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d17724039-Reviews-The_View-Nairobi.html","-1.261079","36.80485",,,"3","2","4","15","49","+254 709 548183","RESTAURANT",,"4.5",,"",,"Nairobi",,"#58 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-w/29/82/95/4c/caption.jpg","87","Open Now","3.7747714519500732","$$$$","73","false","false","17724039"
"Mediterranean","European","Spanish","Bar","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tapas.co.ke/tapas-menu.png",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch",,,,"Lunch","Dinner","Brunch",,,,"Nairobi","Kenya",,,"Westgate Mall",,"Outdoor Seating","Seating","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Table Service","Reservations",,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ceviche","Paella","Calamari","Patatas Bravas","Prawns","Beef","Fish",,,,,,,,,,,,,,,,,"Sit down","restaurant","832","53","Tapas Ceviche Bar Nairobi",,"Westgate Mall, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d4421811-Reviews-Tapas_Ceviche_Bar_Nairobi-Nairobi.html","-1.257588","36.80319",,,"3","3","22","74","66","+254 726 303030","RESTAURANT",,"4",,"",,"Nairobi",,"#53 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/08/88/6a/92/tapas-ceviche-bar-nairobi.jpg","41",,"3.8142812252044678","$$ - $$$","168","false","false","4421811"
"Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"Africa/Nairobi",,,,,,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"http://www.mymisono.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night",,,,"Lunch","Dinner","Late Night",,,,"Nairobi","Kenya","",,"Ngong Road","Green House","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempura","Salmon","Prawns","Fish Soup","Sashimi","Fish",,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","57","Misono","KES 3,706 - KES 5,929","Ngong Road Green House, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1099597-Reviews-Misono-Nairobi.html","-1.300213","36.781944",,,"2","4","16","60","72","+254 722 530204","RESTAURANT",,"4.5","http://www.mymisono.com/menu.asp","",,"Nairobi",,"#57 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0e/ad/b4/14/sushi-and-sashimi-boat.jpg","69","Open Now","3.7809107303619385","$$ - $$$","154","false","false","1099597"
"Italian","French","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"Africa/Nairobi","1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"http://www.45degrees.kitchen",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Dinner","Lunch","Late Night",,,,"Dinner","Lunch","Late Night",,,,"Nairobi","Kenya",,,"Marurui Road","Garden Estate","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Accepts Mastercard","Accepts Visa","Free Wifi","Table Service","Highchairs Available",,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crab","Crab Cake","Salad","Risotto","Beef","Cakes","Fish",,,,,,,,,,,,,,,,,,"restaurant","832","66","45 Degrees Kitchen",,"Marurui Road Garden Estate, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d8826537-Reviews-45_Degrees_Kitchen-Nairobi.html","-1.226986","36.863926",,,"6","4","6","16","94","+254 705 151086","RESTAURANT","45degreeskitchen@gmail.com","4.5","https://www.facebook.com/45degreesKitchen/photos/pm.2647625628800886/2647625648800884/?type=1&theater","","The restaurant features a sustainably and organically grown ingredient-driven menu, utilizing produce from the restaurant's organic garden. While the menu holds its foundation in American dishes, it is influenced by French and Italian provincial cuisine. Our current hours are from 12pm to 11pm daily. Restaurant | Gallery | Bocce Courts","Nairobi",,"#66 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/12/9d/b0/78/salmon.jpg","135","Open Now","3.6636698246002197","$$$$","126","false","false","8826537"
"European","Contemporary","Bar","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sierrapremium.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya",,,"Argwings Kodhek Rd","Yaya Center, 2nd Floor","Takeout","Full Bar","Reservations","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Accepts Mastercard","Accepts Visa","Cash Only","Accepts Credit Cards","Outdoor Seating",,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger","Salad","Wings","Salmon","Beef","Fish",,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","65","Sierra Brasserie",,"Argwings Kodhek Rd Yaya Center, 2nd Floor, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d3452474-Reviews-Sierra_Brasserie-Nairobi.html","-1.2923","36.78498",,,"2","5","12","47","57","+254 20 8068594","RESTAURANT","info@ozzbeco.com","4",,"","Sierra brings together unique South African wines from the lesser known wine estates and dry aged grass fed angus beef for the steaks and burgers from the foothills of Mt.Kenya for a uniquely African experience. Sierra also has its own state-of-the-art brewery on Mombasa road and they therefore make their own stout beer.","Nairobi",,"#65 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/17/eb/5b/7c/bone-in-steak.jpg","89",,"3.6733579635620117","$$ - $$$","122","false","false","3452474"
"American","African",,,,,,,,,,,,,,,"Africa/Nairobi","1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1350","600",,,,,"1350","600",,,,,"http://www.mamarocksburgers.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya",,,"Uhuru Highway","Highwayy Mal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger","Wings",,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","62","Mama Rocks Gourmet Burgers - Mega Mall",,"Uhuru Highway Highwayy Mal, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d24174865-Reviews-Mama_Rocks_Gourmet_Burgers_Mega_Mall-Nairobi.html","-1.290179","36.81919",,,"0","0","0","0","26","+254 705 155155","RESTAURANT",,"5","http://www.mamarocksburgers.com/","",,"Nairobi",,"#62 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/26/b2/f6/86/mama-rocks-gourmet-burgers.jpg","95","Closed Now","3.695305585861206",,"26","false","false","24174865"
"Indian","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"Africa/Nairobi","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"http://www.chowpatyrestaurants.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch",,,,"Lunch","Dinner","Brunch",,,,"Nairobi","Kenya","",,"Shimmers Plaza","Westlands","Delivery","Takeout","Reservations","Seating","Wheelchair Accessible","Serves Alcohol","Free Wifi","Table Service","Highchairs Available",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Chili",,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","67","Chowpaty",,"Shimmers Plaza Westlands, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d2640938-Reviews-Chowpaty-Nairobi.html","-1.265561","36.80506",,,"8","6","27","98","75","+254 733 999995","RESTAURANT",,"4","http://www.chowpatyrestaurants.com/page/menu","",,"Nairobi",,"#67 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0e/64/4e/e9/photo0jpg.jpg","56","Open Now","3.6389825344085693","$$ - $$$","214","false","false","2640938"
"Italian","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://artcaffe.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Nairobi","Kenya","",,"Westgate, Mwanzi Road",,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Table Service","Live Music",,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Sandwiches","Pasta","Burger","Lasagne","Salad","Eggs Benedict","Lamb","Pesto","Cakes","Fish",,,,,,,,,,,,,"Café","restaurant","832","56","Artcaffe","KES 741 - KES 2,965","Westgate, Mwanzi Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1141042-Reviews-Artcaffe-Nairobi.html","-1.25876","36.805458",,,"54","45","98","349","269","+254 717 193895","RESTAURANT",,"4","http://www.artcaffe.co.ke/menu/","",,"Nairobi",,"#56 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/15/e6/0f/f8/20181227-104912-largejpg.jpg","161",,"3.787893533706665","$$ - $$$","815","false","false","1141042"
"Italian","Pizza","Mediterranean","European","Neapolitan","Campania","Tuscan","Romana","Lazio","Sicilian","Central-Italian","Southern-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"Africa/Nairobi","1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"http://laterrazzarestaurant.co.ke/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Nairobi","Kenya","00505",,"Ngong Road","Green House Mall, 4th floor Suite 1, West Wing","Takeout","Reservations","Seating","Highchairs Available","Serves Alcohol","Full Bar","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasta","Pesto","Fish",,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","69","La Terrazza Italian Restaurant, Lounge & Art Gallery","KES 1,482 - KES 7,412","Ngong Road Green House Mall, 4th floor Suite 1, West Wing, Nairobi 00505 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d15360946-Reviews-La_Terrazza_Italian_Restaurant_Lounge_Art_Gallery-Nairobi.html","-1.300277","36.781536",,,"6","1","4","14","70","+254 703 440486","RESTAURANT","laterrazzanrb@gmail.com","4.5","https://laterrazzarestaurant.co.ke/index.php/https-laterrazzarestaurant-co-ke-wp-content-uploads-2021-01-food-menu-2021-pdffood-menu/","","La Terrazza Italian Restaurant, Lounge & Art Gallery is located at The Greenhouse along Ngong Road, 4th Floor Suite-1. Nairobi Kenya.","Nairobi",,"#69 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/39/be/36/charming-and-sophisticated.jpg","79","Open Now","3.628004550933838","$$ - $$$","94","false","false","15360946"
"Brazilian","Barbecue",,,,,,,,,,,,,,,"Africa/Nairobi","1350","750",,,,,"900","720","1350","1110",,,"900","720","1350","1110",,,"900","720","1350","1110",,,"900","720","1350","1110",,,"960","720","1380","1110",,,"1350","750",,,,,"http://www.fogogaucho.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","00100",,"Galana Road","Galana Plaza","Takeout","Reservations","Outdoor Seating","Buffet","Seating","Parking Available","Free off-street parking","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Full Bar","Accepts Credit Cards",,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ribs","Salad","Prawns","Beef","Lamb","Fish","Pork",,,,,,,,,,,,,,,,,"Sit down","restaurant","832","61","Fogo Gaucho","KES 2,965 - KES 4,447","Galana Road Galana Plaza, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7596773-Reviews-Fogo_Gaucho-Nairobi.html","-1.29083","36.783066",,,"2","6","14","55","67","+254 715 414141","RESTAURANT","kilimani@fogogaucho.co.ke","4","http://www.fogogaucho.co.ke#menu","","Fogo Gaucho is Nairobi's Favourite Steakhouse set up in a beautiful ambience that gives a feel as though you are in a corner of South Brazil. If you are looking for a prime dining experience in a stylish, ambient environment either for a family outing, business lunch meeting or office party, Fogo Gaucho offers top class service to fit any occasion and a playground for children every Sunday.","Nairobi",,"#61 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/07/44/8f/d4/beautiful-ambience.jpg","40","Open Now","3.7315056324005127","$$ - $$$","139","false","false","7596773"
"Bar","European","Pub","International",,,,,,,,,,,,,"Africa/Nairobi","1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1560","660",,,,,"1560","660",,,,,"1620","660",,,,,"1620","660",,,,,"http://thebigfivebreweries.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch","Late Night","Drinks",,"Lunch","Dinner","Brunch","Late Night","Drinks",,"Nairobi","Kenya","",,"Piedmont Plaza","671 Ngong Road","Reservations","Outdoor Seating","Seating","Parking Available","Television","Serves Alcohol","Full Bar","Free Wifi","Live Music",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger","Tapas","Wings","Calamari","Beef","Lamb",,,,,,,,,,,,,,,,,,"Sit down","restaurant","833","59","Brew Bistro & Lounge",,"Piedmont Plaza 671 Ngong Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d2269080-Reviews-Brew_Bistro_Lounge-Nairobi.html","-1.299353","36.765427",,,"18","9","47","185","129","+254 731 006068","RESTAURANT",,"4",,"",,"Nairobi",,"#59 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0d/7b/6b/c1/hamburguesa-nam.jpg","98","Open Now","3.7710208892822266","$$ - $$$","388","false","false","2269080"
