"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","ancestorLocations/3/abbreviation","ancestorLocations/3/id","ancestorLocations/3/name","ancestorLocations/3/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Links Road, Opposite SOS Village Bliss Resort, Nyali, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Links Road, Opposite SOS Village","Bliss Resort, Nyali",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Indian","International","Asian","Healthy","Vegetarian Friendly","Vegan Options",,"Relax in an atomosphere of peace, tranquilty and serenity as you share a meal or drink with friends, family or business associates. Experience the finest tastes of India at our Namaskar Restaurant; or contintental cuisine by the pool at Spirit of the Seas Restaurant.","Dinner","Late Night","Breakfast","Lunch","Brunch","Drinks",,,,,,,,,,,,,,,,,,"reservations@bliss.co.ke","Restaurants",,"Reservations","Buffet","Parking Available","Validated Parking","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Accepts Discover","Delivery","Takeout","Seating","Wheelchair Accessible",,,,,,,,,,"Africa/Nairobi","1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"1410","660",,,"12219823","https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/01/cc/ec/food.jpg","false","false","-4.048609",,"","Mombasa, Coast Province","39.693146","Dinner","Late Night","Breakfast","Lunch","Brunch","Drinks","https://qr1.be/U7TM","Namaskar Restaurant","19","Open Now",,"+254 704 912808","50","$$ - $$$","KES 1,334 - KES 2,965","144","50","#50 of 188 places to eat in Mombasa","4","1","0","3","9","6","3.159815788269043","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d12219823-Reviews-Namaskar_Restaurant-Mombasa_Coast_Province.html","http://www.bliss.co.ke/dining.html"
"Nyali First Avenue Kedev Cottages Road, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Nyali First Avenue","Kedev Cottages Road",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Pizza","Seafood","Fast Food","International","Grill",,,,"Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,"capde_luqu@yahoo.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"24045564","https://media-cdn.tripadvisor.com/media/photo-m/1280/27/fe/8e/52/caption.jpg","false","false","-4.056656",,"","Mombasa, Coast Province","39.67249","Breakfast","Lunch","Dinner",,,,,"Poco Loco Bistro","6","Open Now",,"+254 790 259555","8",,,"144","49","#49 of 188 places to eat in Mombasa","5","0","0","0","0","6","3.168708324432373",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d24045564-Reviews-Poco_Loco_Bistro-Mombasa_Coast_Province.html",
"Voyager Beach Resort, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Voyager Beach Resort",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","African","Seafood","Vegetarian Friendly",,,,,"This gourmet restaurant specialises in seafood and is open daily from 1930hrs to 2230 hrs. All – Inclusive and Full Board passengers qualify for a 50 percent discount, while Half Boarders get 25 percent off the food listed prices. Booking is required, and is made a day before.","Dinner",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"1350","1170",,,"6416280","https://media-cdn.tripadvisor.com/media/photo-m/1280/15/b5/63/70/restaurant-ambience.jpg","false","false","-4.03521",,"","Mombasa, Coast Province","39.71543","Dinner",,,,,,,"SmugglersCove","17","Open Now",,"+254 41 4475114","22","$$ - $$$",,"144","52","#52 of 188 places to eat in Mombasa","4","0","1","1","9","6","3.1564366817474365",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d6416280-Reviews-SmugglersCove-Mombasa_Coast_Province.html","https://www.facebook.com/Smugglers-Cove-182486331947339/"
"English Point Marina, Nyali, Mombasa Kenya","Mombasa","Kenya",,,,"English Point Marina, Nyali",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Lebanese","Cafe","Mediterranean","Middle Eastern","Vegetarian Friendly",,,,"Breakfast","Lunch","Brunch",,,,"Shawarma","Cakes",,,,,,,,,,,,,,,,,"Restaurants",,"Outdoor Seating","Seating","Takeout","Reservations","Highchairs Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8589655","https://media-cdn.tripadvisor.com/media/photo-o/09/d1/84/a5/photo0jpg.jpg","false","false","-4.058486",,"","Mombasa, Coast Province","39.684093","Breakfast","Lunch","Brunch",,,,"https://www.cafearabika.co.ke/our-menu/","Cafe Arabika","55",,,"+254 701 011011","51","$$ - $$$",,"144","45","#45 of 188 places to eat in Mombasa","4","5","2","9","20","19","3.200313091278076","Café","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d8589655-Reviews-Cafe_Arabika-Mombasa_Coast_Province.html","http://www.cafearabika.co.ke/"
"Thika Rd Old Town, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Thika Rd","Old Town",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","African","Barbecue","Vegetarian Friendly",,,,,"Google ""Island Dishes"" and you will see it listed on the Lonely Planet website. It is also on the Google Maps of Mombasa and is a top pick in the current edition of Rough Guide Kenya.","Dinner","Breakfast","Lunch","Brunch",,,"Fish",,,,,,,,,,,,,,,,,"newislanddishes@gmail.com","Restaurants",,"Takeout","Delivery","Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"2417303","https://media-cdn.tripadvisor.com/media/photo-o/0e/3c/07/97/photo0jpg.jpg","false","false","-4.062278",,"","Mombasa, Coast Province","39.67901","Dinner","Breakfast","Lunch","Brunch",,,,"New Island Dishes And Barbeque","31","Open Now",,"+254 711 122221","24","$$ - $$$","KES 741 - KES 4,447","144","41","#41 of 188 places to eat in Mombasa","4","1","1","5","10","14","3.21152400970459","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d2417303-Reviews-New_Island_Dishes_And_Barbeque-Mombasa_Coast_Province.html",
"Makadara Road, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Makadara Road",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","African","Halal","Vegetarian Friendly","Vegan Options",,,,,"Breakfast","Lunch","Dinner","Brunch",,,"Shawarma",,,,,,,,,,,,,,,,,,"Restaurants",,"Takeout","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"1380","360",,,"12423843","https://media-cdn.tripadvisor.com/media/photo-o/10/07/28/5e/caption.jpg","false","false","-4.061324",,"","Mombasa, Coast Province","39.6765","Breakfast","Lunch","Dinner","Brunch",,,,"Barka Restaurant","29","Open Now",,"+254 722 881009","23","$$ - $$$",,"144","46","#46 of 188 places to eat in Mombasa","4","2","1","6","10","10","3.1867527961730957",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d12423843-Reviews-Barka_Restaurant-Mombasa_Coast_Province.html","http://www.facebook.com/pages/Barka-Restaurant/193585450699329"
"Danka Plaza Links Road Nyali Next to Odds & Ends, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Danka Plaza Links Road Nyali","Next to Odds & Ends",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Cafe","Deli","Grill","Diner","International",,,,"Breakfast","Lunch","Dinner","Brunch","Drinks",,,,,,,,,,,,,,,,,,,"hello@coolbeans.co.ke","Restaurants",,"Takeout","Outdoor Seating","Private Dining","Seating","Parking Available","Wheelchair Accessible","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Non-smoking restaurants","Reservations","Highchairs Available","Full Bar","Family style",,,,,,,,,,,,"Africa/Nairobi","1380","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"25944019","https://media-cdn.tripadvisor.com/media/photo-w/29/58/29/a3/welcome-to-cool-beans.jpg","false","false","-4.040433",,"","Mombasa, Coast Province","39.704887","Breakfast","Lunch","Dinner","Brunch","Drinks",,"https://coolbeans.co.ke/our-menu/","Cool Beans","9","Open Now",,"+254 745 555777","37",,,"144","34","#34 of 188 places to eat in Mombasa","5","0","0","0","1","8","3.2818219661712646",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d25944019-Reviews-Cool_Beans-Mombasa_Coast_Province.html","http://coolbeans.co.ke"
"Nyali Beach, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Nyali Beach",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Bar","Pub",,,,,,,"Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1560","720",,,"1560","720",,,"1560","720",,,"1560","720",,,"1620","720",,,"1740","720",,,"1740","720",,,"12009331","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/bc/27/b8/moonshine-beach-bar.jpg","false","false","-4.04716",,"","Mombasa, Coast Province","39.71014","Lunch","Dinner",,,,,,"Moonshine Beach Bar","17","Open Now",,,"10","$$ - $$$",,"144","65","#65 of 188 places to eat in Mombasa","4","2","0","2","7","6","3.1095094680786133",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d12009331-Reviews-Moonshine_Beach_Bar-Mombasa_Coast_Province.html","http://www.facebook.com/MoonshineMombasa/"
"Links Road Nyali, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Links Road","Nyali",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Seafood","Italian","Pizza","European","Vegetarian Friendly",,,,"Lunch","Dinner","Brunch","Drinks",,,"Pasta","Cheesecake","Crab","Risotto","Tiramisu","Pesto","Fish",,,,,,,,,,,"robertos@robertosmombasa.com","Restaurants",,"Takeout","Reservations","Outdoor Seating","Seating","Wheelchair Accessible","Serves Alcohol","Table Service","Highchairs Available",,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"10920334","https://media-cdn.tripadvisor.com/media/photo-o/0f/b5/4e/07/caption.jpg","false","false","-4.035256",,"","Mombasa, Coast Province","39.709175","Lunch","Dinner","Brunch","Drinks",,,,"Roberto's","109","Open Now",,"+254 723 223399","51","$$ - $$$",,"144","22","#22 of 188 places to eat in Mombasa","4","7","8","16","28","50","3.409756898880005",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d10920334-Reviews-Roberto_s-Mombasa_Coast_Province.html","http://www.robertosmombasa.com"
"Bamburi Beach, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Bamburi Beach",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Italian","African","Bar","Pizza",,,,"The New Big Tree is small beach resort on the North Coast of Kenya in Bamburi Beach, few kilometres from Mombasa town, where you can enjoy privacy and tranquility for your vacation time on its marvelous white sands beach. We strive for the customer's satisfaction at the most affordable prices, because Paradise is for all and not just for few ones. Take a deep breath... come and realize your dreams for an unforgettable vacation.","Lunch","Dinner","Late Night","Drinks",,,,,,,,,,,,,,,,,,,,"thenewbigtreebeachresort@gmail.com","Restaurants",,"Outdoor Seating","Seating","Parking Available","Private Dining","Television","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Accepts Credit Cards","Live Music","Waterfront","Beach","Sports bars",,,,,,,,,,,,,,"Africa/Nairobi","1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"1380","540",,,"2175668","https://media-cdn.tripadvisor.com/media/photo-o/12/30/87/8f/big-tree-beach-hotel.jpg","false","false","-4.002341",,"","Mombasa, Coast Province","39.729115","Lunch","Dinner","Late Night","Drinks",,,"http://thenewbigtreebeachresort.com/menu","The New Big Tree Beach Resort","89","Open Now",,"+254 721 437448","68","$$ - $$$",,"144","42","#42 of 188 places to eat in Mombasa","3.5","8","11","16","30","24","3.208756685256958","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d2175668-Reviews-The_New_Big_Tree_Beach_Resort-Mombasa_Coast_Province.html","http://www.thenewbigtreebeachresort.com"
"Greenwood Drive, End Of Bondeni Road Next To Tree House, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Greenwood Drive, End Of Bondeni Road","Next To Tree House",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Lebanese","Seafood","Mediterranean",,,,,"Kijani beach bistro is a stunning contemporary restaurant serving innovative Lebanese cuisine along the beautiful Nyali beach, coast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"25093664","https://media-cdn.tripadvisor.com/media/photo-m/1280/27/d1/85/c9/kijani-beach-bistro.jpg","false","false","-4.058571",,"","Mombasa, Coast Province","39.697548","Lunch","Dinner",,,,,,"Kijani Beach Bistro","4","Open Now",,"+254 793 824051","7",,,"144","64","#64 of 188 places to eat in Mombasa","4.5","0","0","0","2","2","3.1111226081848145",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d25093664-Reviews-Kijani_Beach_Bistro-Mombasa_Coast_Province.html",
"Jomo kenyatta avenue, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Jomo kenyatta avenue",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Barbecue","Arabic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13811742","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/5a/99/0e/some-of-their-dishes.jpg","false","false","-4.04744",,"","Mombasa, Coast Province","39.66274",,,,,,,,"Adams barbecue","13",,,"254748898500","9","$$ - $$$",,"144","43","#43 of 188 places to eat in Mombasa","4.5","0","0","1","6","6","3.2054643630981445",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d13811742-Reviews-Adams_barbecue-Mombasa_Coast_Province.html","http://www.adamsbbq.com"
"Tom Mboya Road Tudor Opp Khoja Khanne, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Tom Mboya Road","Tudor Opp Khoja Khanne",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","African","Indian",,,,,,,"Dinner",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Digital Payments",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","1020",,,,,,,"1380","1020",,,"1380","1020",,,"1380","1020",,,"1380","1020",,,"1380","1020",,,"14997621","https://media-cdn.tripadvisor.com/media/photo-w/18/c3/91/40/fischer-s-hut.jpg","false","false","-4.042227",,"","Mombasa, Coast Province","39.665993","Dinner",,,,,,,"Fischer's Hut","5","Open Now",,"+254 703 445530","1","$$ - $$$","KES 148 - KES 2,224","144","61","#61 of 188 places to eat in Mombasa","5","0","0","0","0","5","3.1129915714263916","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d14997621-Reviews-Fischer_s_Hut-Mombasa_Coast_Province.html","http://www.facebook.com/Fischershutudor"
"Diani Road Opp. Diani Reef Hotel, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Diani Road","Opp. Diani Reef Hotel",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Chinese","Asian","Vegetarian Friendly",,,,,,"Lunch","Dinner",,,,,"Noodle","Crab","Prawns","Beef","Fish","Pork",,,,,,,,,,,,,"Restaurants",,"Takeout","Reservations","Seating","Parking Available","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2034253","https://media-cdn.tripadvisor.com/media/photo-o/0f/00/b3/77/galaxy-chinese-restaurant.jpg","false","false","-4.076701",,"","Mombasa, Coast Province","39.673664","Lunch","Dinner",,,,,,"Galaxy Chinese Restaurant","81",,,"+254 20 2138611","36","$$ - $$$",,"144","36","#36 of 188 places to eat in Mombasa","4","4","2","13","35","27","3.27591609954834","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d2034253-Reviews-Galaxy_Chinese_Restaurant-Mombasa_Coast_Province.html",
"Nyali Centre, Links Road Nyali Centre, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Nyali Centre, Links Road","Nyali Centre",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Bar","Mediterranean","Pub","Wine Bar","Fusion","Vegetarian Friendly",,"Welcome to Tapas Cielo voted one of the top 10 bars in Kenya, a stunning lounge bar and restaurant in Nyali, Contemporary decor and comfortable seating create a welcoming atmosphere in Tapas Cielo, where you can meet friends and unwind. Choose your favourite cocktail from our wide cocktail collection including such classics as long island Ice Tea, Whisky sour or a perfect martini. Enjoy our special mouth-watering food including our special tapas selection. The lounge is located in upmarket business hub of Nyali ,near shopping malls and tourists hotels ,it’s a walking distance from the famous Whitesands beaches of North Mombasa, fringed by the coral reef which forms part of the Mombasa marine reserve, yet it’s only a fifteen minute drive from Mombasa town centre.","Brunch","Lunch","Dinner","Drinks",,,"Tapas",,,,,,,,,,,,,,,,,"info@tapascielo.com","Restaurants",,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Free off-street parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Highchairs Available","Wine and Beer",,,,,,,,,,,"Africa/Nairobi","1620","720",,,"1620","720",,,"1620","720",,,"1620","720",,,"1620","720",,,"1740","720",,,"1740","720",,,"7002905","https://media-cdn.tripadvisor.com/media/photo-w/16/24/4c/ce/terrace.jpg","false","false","-4.02159",,"","Mombasa, Coast Province","39.718987","Brunch","Lunch","Dinner","Drinks",,,"http://www.tapascielo.com/food-menu","Tapas Cielo","104","Open Now",,"+254 739 888888","176","$$ - $$$",,"144","16","#16 of 188 places to eat in Mombasa","4","6","3","8","32","55","3.5101122856140137","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d7002905-Reviews-Tapas_Cielo-Mombasa_Coast_Province.html","http://www.tapascielo.com"
"Kaunda Ave Fidelity House, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Kaunda Ave","Fidelity House",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Indian","Barbecue","Grill","Vegetarian Friendly","Halal",,,,"Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Takeout","Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7282199","https://media-cdn.tripadvisor.com/media/photo-o/07/bc/2b/77/sham-e-bahar.jpg","false","false","-4.0724",,"","Mombasa, Coast Province","39.67377","Lunch","Dinner",,,,,,"Shaam E Bahaar","23",,,"+254 721 460474","2","$$ - $$$",,"144","37","#37 of 188 places to eat in Mombasa","4.5","0","0","2","9","12","3.255063056945801","Café","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d7282199-Reviews-Shaam_E_Bahaar-Mombasa_Coast_Province.html",
"Nyerere Ave, Mombasa 254 Kenya","Mombasa","Kenya","254",,"Nyerere Ave",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Indian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bistroorder@ikenya.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15683798",,"false","false","-4.07263",,"","Mombasa, Coast Province","39.66723",,,,,,,,"Bombay Bistro","4",,,"+254 797 690905","0",,,"144","87","#87 of 188 places to eat in Mombasa","4.5","0","0","0","3","1","3.0691285133361816",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d15683798-Reviews-Bombay_Bistro-Mombasa_Coast_Province.html","https://www.facebook.com/BombayBistroKE/"
"Mwembe Tayari Road, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Mwembe Tayari Road","",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options",,,,"In April 1962, as Mombasa was growing into one of East Africa's busiest ports, Dalip Singh Wilkhu had a vision. While working as a signal operator for East African Railways, he was inspired to feed arriving visitors while preparing packaged meals for those preparing to depart. Singh Restaurant was born. Since then, Singh Restaurant has fed generations of people from various walks of life... Providing lunches and dinners for entire groups of workers, for families, for individuals... And becoming one of the most popular tourist destinations in the region, and drawing visitors from nearby cities such as Nairobi and Dar es Salaam. Our success comes from high quality in all aspects of our business, from the food we serve, to our operational efficiency, to the atmosphere we provide our visitors from the moment they walk in, until the moment they depart. Our quality of food and quality of service has helped Singh Restaurant gain recognition as the most highly recommended Indian restaurant in Mombasa by sources including TripAdvisor and Lonely Planet.","Lunch","Dinner","Late Night",,,,"Chili","Curry","Prawns","Fish",,,,,,,,,,,,,,,"Restaurants",,"Takeout","Seating","Wheelchair Accessible","Reservations",,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","870","720","1320","1140",,,,,"870","720","1320","1140","870","720","1320","1140","870","720","1320","1140","870","720","1320","1140","870","720","1320","1140","2283276","https://media-cdn.tripadvisor.com/media/photo-o/05/3c/b8/0f/singh-restaurant.jpg","false","false","-4.056649",,"","Mombasa, Coast Province","39.6675","Lunch","Dinner","Late Night",,,,,"Singh Restaurant","141","Open Now",,"+254 723 735881","45","$$ - $$$","KES 889 - KES 1,779","144","6","#6 of 188 places to eat in Mombasa","4.5","0","1","6","52","82","3.883434534072876","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d2283276-Reviews-Singh_Restaurant-Mombasa_Coast_Province.html","http://www.facebook.com/SinghRestaurant1962/"
"Makadara Road, Mombasa 00254 Kenya","Mombasa","Kenya","00254",,"Makadara Road",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Italian","African","Asian","South American","Central American",,,,,,,,,,,,,,,,,,,,,,,,,,,"rukia1409@gmail.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13497707","https://media-cdn.tripadvisor.com/media/photo-o/12/27/bc/51/ugai-and-chicken-sauce.jpg","false","false","-4.061062",,"","Mombasa, Coast Province","39.674023",,,,,,,,"Baba Jay Restaurant","4",,,"+254 723 555829","2","$","KES 7,412 - KES 74,118","144","76","#76 of 188 places to eat in Mombasa","5","0","0","0","1","3","3.085911512374878","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d13497707-Reviews-Baba_Jay_Restaurant-Mombasa_Coast_Province.html",
"Moi Avenue, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Moi Avenue",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Chinese","Asian","Korean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17701705","https://media-cdn.tripadvisor.com/media/photo-o/1a/fc/7c/12/best-chinese-restaurant.jpg","false","false","-4.061376",,"","Mombasa, Coast Province","39.664547",,,,,,,,"New Overseas Chinese Korea Restaurant","7",,,"+254 770 095777","33","$$ - $$$",,"144","81","#81 of 188 places to eat in Mombasa","4","1","0","0","3","3","3.0807597637176514",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d17701705-Reviews-New_Overseas_Chinese_Korea_Restaurant-Mombasa_Coast_Province.html",
